Instance,Algorithm,Pareto_Size,HVR,Epsilon,Time_Sec
bowman8_c=20.alb,Exact,1,0.1549,1.0,0.4053
bowman8_c=20.alb,Hybrid,1,0.9296,0.5,0.0344
bowman8_c=20.alb,MOEAD,2,0.9296,0.5,0.5111
bowman8_c=20.alb,MOVNS,2,0.9296,0.5,0.008
bowman8_c=20.alb,NSGA2,2,0.9296,0.5,0.2967
bowman8_c=20.alb,Pure,1,0.9296,0.5,0.0002
jackson_c=10.alb,Exact,1,0.1549,1.0,0.2625
jackson_c=10.alb,Hybrid,1,0.1549,1.0,0.0641
jackson_c=10.alb,MOEAD,2,0.7535,0.5,0.6846
jackson_c=10.alb,MOVNS,2,0.7535,0.5,0.011
jackson_c=10.alb,NSGA2,2,0.7535,0.5,0.3358
jackson_c=10.alb,Pure,1,0.9296,0.5,0.0004
jackson_c=10_1.alb,Exact,1,0.1255,1.0,0.8267
jackson_c=10_1.alb,Hybrid,1,0.962,0.3333,0.0627
jackson_c=10_1.alb,MOEAD,3,0.7338,0.3333,0.5822
jackson_c=10_1.alb,MOVNS,2,0.711,0.3333,0.011
jackson_c=10_1.alb,NSGA2,3,0.7338,0.3333,0.2945
jackson_c=10_1.alb,Pure,1,0.4449,0.6667,0.0004
jackson_c=10_2.alb,Exact,1,0.1626,1.0,0.9154
jackson_c=10_2.alb,Hybrid,1,0.5764,0.6667,0.06
jackson_c=10_2.alb,MOEAD,2,0.9212,0.3333,0.5665
jackson_c=10_2.alb,MOVNS,2,0.9212,0.3333,0.011
jackson_c=10_2.alb,NSGA2,3,0.9507,0.3333,0.298
jackson_c=10_2.alb,Pure,1,0.5764,0.6667,0.0002
jackson_c=10_3.alb,Exact,1,0.1803,1.0,0.9946
jackson_c=10_3.alb,Hybrid,1,0.1803,1.0,0.0591
jackson_c=10_3.alb,MOEAD,2,0.7213,0.5,0.6267
jackson_c=10_3.alb,MOVNS,2,0.7213,0.5,0.013
jackson_c=10_3.alb,NSGA2,2,0.7213,0.5,0.3141
jackson_c=10_3.alb,Pure,1,0.8852,0.5,0.0004
jackson_c=10_4.alb,Exact,1,0.1803,1.0,0.8983
jackson_c=10_4.alb,Hybrid,1,0.1803,1.0,0.0528
jackson_c=10_4.alb,MOEAD,2,0.918,0.5,0.5821
jackson_c=10_4.alb,MOVNS,2,0.918,0.5,0.009
jackson_c=10_4.alb,NSGA2,2,0.918,0.5,0.3076
jackson_c=10_4.alb,Pure,1,0.1803,1.0,0.0002
jackson_c=13.alb,Exact,1,0.1549,1.0,0.0622
