Instance,Algorithm,Pareto_Size,HVR,Epsilon,Time_Sec
buxey_c=36.alb,Exact,1,0.1923,1.0,7.0567
buxey_c=36.alb,Hybrid,1,0.577,0.8,1.7433
buxey_c=36.alb,MOEAD,3,0.8618,0.6,1.9258
buxey_c=36.alb,MOVNS,3,0.8451,0.6,0.063
buxey_c=36.alb,NSGA2,3,0.8451,0.6,0.6345
buxey_c=36.alb,Pure,1,0.184,1.0,0.0082
gunther_c=44.alb,Exact,1,0.1727,1.0,5.7638
gunther_c=44.alb,Hybrid,1,0.1727,1.0,3.0451
gunther_c=44.alb,MOEAD,4,0.9215,0.5,1.3543
gunther_c=44.alb,MOVNS,4,0.8463,0.5,0.0416
gunther_c=44.alb,NSGA2,4,0.9215,0.5,0.537
gunther_c=44.alb,Pure,1,0.1727,1.0,0.0072
gunther_c=49.alb,Exact,1,0.1314,1.0,3.8853
gunther_c=49.alb,Hybrid,1,0.9532,0.3333,3.3865
gunther_c=49.alb,MOEAD,4,0.6945,0.5,1.3341
gunther_c=49.alb,MOVNS,4,0.664,0.5,0.062
gunther_c=49.alb,NSGA2,4,0.6945,0.5,0.4507
gunther_c=49.alb,Pure,1,0.4474,0.6667,0.0048
gunther_c=54.alb,Exact,1,0.1908,1.0,21.0021
gunther_c=54.alb,Hybrid,1,0.5506,0.8,4.2479
gunther_c=54.alb,MOEAD,3,0.8815,0.6,1.9053
gunther_c=54.alb,MOVNS,3,0.896,0.6,0.0565
gunther_c=54.alb,NSGA2,3,0.896,0.6,0.6691
gunther_c=54.alb,Pure,1,0.5506,0.8,0.0066
gunther_c=69.alb,Exact,1,0.2391,1.0,2.6575
gunther_c=69.alb,Hybrid,1,0.837,0.75,6.1413
gunther_c=69.alb,MOEAD,2,0.7917,0.75,1.29
gunther_c=69.alb,MOVNS,2,0.769,0.75,0.026
gunther_c=69.alb,NSGA2,2,0.7917,0.75,0.4961
gunther_c=69.alb,Pure,1,0.837,0.75,0.0062
gunther_c=69_1.alb,Exact,1,0.1549,1.0,1.5472
gunther_c=69_1.alb,Hybrid,1,0.9296,0.5,5.5688
gunther_c=69_1.alb,MOEAD,2,0.5129,0.75,1.7975
gunther_c=69_1.alb,MOVNS,2,0.5276,0.75,0.0705
gunther_c=69_1.alb,NSGA2,2,0.5276,0.75,0.6251
gunther_c=69_1.alb,Pure,1,0.5423,0.75,0.0058
gunther_c=69_2.alb,Exact,1,0.9992,0.0017,5.0146
gunther_c=69_2.alb,Hybrid,1,0.5457,0.5,5.8571
gunther_c=69_2.alb,MOEAD,2,0.3184,0.75,1.8463
gunther_c=69_2.alb,MOVNS,2,0.029,0.9999,0.032
gunther_c=69_2.alb,NSGA2,2,0.3184,0.75,0.7148
gunther_c=69_2.alb,Pure,1,0.029,0.9999,0.0066
gunther_c=69_3.alb,Exact,1,0.1549,1.0,24.2168
gunther_c=69_3.alb,Hybrid,1,0.9296,0.5,6.9488
gunther_c=69_3.alb,MOEAD,2,0.0501,0.9983,2.5063
gunther_c=69_3.alb,MOVNS,1,0.0501,0.9985,0.0535
gunther_c=69_3.alb,NSGA2,2,0.0501,0.9983,0.8451
gunther_c=69_3.alb,Pure,1,0.0501,0.9983,0.0104
heskia_c=138.alb,Exact,1,0.1317,1.0,1.0804
heskia_c=138.alb,Hybrid,1,0.4611,0.75,1.4222
heskia_c=138.alb,MOEAD,3,0.9102,0.25,1.0471
heskia_c=138.alb,MOVNS,3,0.6707,0.5,0.031
heskia_c=138.alb,NSGA2,3,0.9102,0.25,0.4488
heskia_c=138.alb,Pure,1,0.7904,0.5,0.0062
heskia_c=216.alb,Exact,1,0.2025,1.0,1.0473
heskia_c=216.alb,Hybrid,1,0.8773,0.6667,2.0082
heskia_c=216.alb,MOEAD,1,0.8773,0.6667,1.3705
heskia_c=216.alb,MOVNS,2,0.8412,0.6667,0.0635
heskia_c=216.alb,NSGA2,2,0.8412,0.6667,0.5554
heskia_c=216.alb,Pure,1,0.8773,0.6667,0.0088
heskia_c=256.alb,Exact,1,0.1549,1.0,0.4229
heskia_c=256.alb,Hybrid,1,0.1549,1.0,2.0783
heskia_c=256.alb,MOEAD,1,0.9296,0.5,1.0342
heskia_c=256.alb,MOVNS,1,0.9296,0.5,0.046
heskia_c=256.alb,NSGA2,2,0.829,0.5,0.5312
heskia_c=256.alb,Pure,1,0.9296,0.5,0.0038
heskia_c=342.alb,Exact,1,0.5238,1.0,0.3284
heskia_c=342.alb,Hybrid,1,0.5238,1.0,2.3799
heskia_c=342.alb,MOEAD,1,0.4643,1.0,1.3789
heskia_c=342.alb,MOVNS,1,0.5238,1.0,0.0645
heskia_c=342.alb,NSGA2,1,0.4048,1.0,0.8939
heskia_c=342.alb,Pure,1,0.5238,1.0,0.0082
kilbrid_c=110.alb,Exact,1,0.1689,1.0,0.5973
kilbrid_c=110.alb,Hybrid,1,0.1689,1.0,10.9635
kilbrid_c=110.alb,MOEAD,2,0.9232,0.5,1.5698
kilbrid_c=110.alb,MOVNS,2,0.878,0.5,0.0506
kilbrid_c=110.alb,NSGA2,2,0.9232,0.5,0.9609
kilbrid_c=110.alb,Pure,1,0.1689,1.0,0.019
kilbrid_c=110_1.alb,Exact,1,1.0,0.0004,7.9025
kilbrid_c=110_1.alb,Hybrid,1,0.0909,1.0,9.5053
kilbrid_c=110_1.alb,MOEAD,2,0.3941,0.6662,3.2759
kilbrid_c=110_1.alb,MOVNS,1,0.1553,0.6667,0.077
kilbrid_c=110_1.alb,NSGA2,2,0.1828,0.6667,1.9753
kilbrid_c=110_1.alb,Pure,1,0.1553,0.6667,0.0282
kilbrid_c=138.alb,Exact,1,0.5238,1.0,2.4366
kilbrid_c=138.alb,Hybrid,1,0.5238,1.0,9.7591
kilbrid_c=138.alb,MOEAD,1,0.5238,1.0,1.5572
kilbrid_c=138.alb,MOVNS,1,0.5238,1.0,0.0625
kilbrid_c=138.alb,NSGA2,1,0.5238,1.0,0.871
kilbrid_c=138.alb,Pure,1,0.5238,1.0,0.0149
kilbrid_c=184.alb,Exact,1,0.9994,0.0013,0.7393
kilbrid_c=184.alb,Hybrid,1,0.5457,0.5,9.8642
kilbrid_c=184.alb,MOEAD,1,0.0496,1.0,1.5635
kilbrid_c=184.alb,MOVNS,1,0.0496,1.0,0.037
kilbrid_c=184.alb,NSGA2,2,0.1323,0.9987,0.5927
kilbrid_c=184.alb,Pure,1,0.0496,1.0,0.0098
kilbrid_c=56.alb,Exact,1,0.1358,1.0,16.3646
kilbrid_c=56.alb,Hybrid,1,0.9506,0.4,7.689
kilbrid_c=56.alb,MOEAD,2,0.6494,0.6,2.8293
kilbrid_c=56.alb,MOVNS,3,0.6494,0.6,0.0965
kilbrid_c=56.alb,NSGA2,2,0.6593,0.6,0.9408
