Instance,Algorithm,Pareto_Size,HVR,Epsilon,Time_Sec
Arc111_c=17067.alb,Exact,1,0.9999,0.0003,602.1763
Arc111_c=17067.alb,Hybrid,1,0.3182,0.75,12.649
Arc111_c=17067.alb,MOEAD,2,0.0806,0.9997,14.0277
Arc111_c=17067.alb,MOVNS,2,0.1684,0.75,1.3067
Arc111_c=17067.alb,NSGA2,1,0.2459,0.75,3.4369
Arc111_c=17067.alb,Pure,1,0.2459,0.75,0.78
Arc111_c=6267.alb,Exact,1,0.1089,1.0,602.5051
Arc111_c=6267.alb,Hybrid,1,0.1089,1.0,14.4681
Arc111_c=6267.alb,MOEAD,6,0.9999,0.0001,22.0078
Arc111_c=6267.alb,MOVNS,6,1.0,0.0001,2.0243
Arc111_c=6267.alb,NSGA2,5,0.8019,0.2,5.3776
Arc111_c=6267.alb,Pure,1,0.3268,0.8,1.3648
Arc111_c=9400.alb,Exact,1,0.999,0.0025,600.8498
Arc111_c=9400.alb,Hybrid,1,0.2211,0.8571,12.4811
Arc111_c=9400.alb,MOEAD,4,0.481,0.5714,4.112
Arc111_c=9400.alb,MOVNS,3,0.3511,0.7143,0.4926
Arc111_c=9400.alb,NSGA2,5,0.4929,0.5714,1.0126
Arc111_c=9400.alb,Pure,1,0.091,1.0,0.3122
Arc83_c=5824.alb,Exact,1,0.0909,1.0,603.3844
Arc83_c=5824.alb,Hybrid,1,1.0,0.0,11.8327
Arc83_c=5824.alb,MOEAD,2,0.5225,0.5,15.804
Arc83_c=5824.alb,MOVNS,2,0.2952,0.75,0.5056
Arc83_c=5824.alb,NSGA2,1,0.5454,0.5,3.8171
Arc83_c=5824.alb,Pure,1,0.6591,0.375,0.2068
Arc83_c=5824_1.alb,Exact,1,0.2139,1.0,474.3811
Arc83_c=5824_1.alb,Hybrid,1,0.2139,1.0,11.5634
Arc83_c=5824_1.alb,MOEAD,2,0.5562,0.8333,3.0111
Arc83_c=5824_1.alb,MOVNS,2,0.5609,0.8333,0.194
Arc83_c=5824_1.alb,NSGA2,3,0.8704,0.6667,0.7942
Arc83_c=5824_1.alb,Pure,1,0.2139,1.0,0.0594
Arc83_c=7571.alb,Exact,1,1.0,0.0004,494.3113
Arc83_c=7571.alb,Hybrid,1,0.0909,1.0,11.7255
Arc83_c=7571.alb,MOEAD,2,0.2279,0.7273,13.3525
Arc83_c=7571.alb,MOVNS,1,0.1035,0.9091,0.1595
Arc83_c=7571.alb,NSGA2,2,0.2362,0.7273,3.3135
Arc83_c=7571.alb,Pure,1,0.0542,1.0,0.1386
arc83_c=8412.alb,Exact,1,0.0791,1.0,601.4838
arc83_c=8412.alb,Hybrid,1,1.0,0.0,11.775
arc83_c=8412.alb,MOEAD,2,0.4805,0.5714,8.0605
arc83_c=8412.alb,MOVNS,1,0.0909,1.0,0.1095
arc83_c=8412.alb,NSGA2,1,0.2208,0.8571,2.039
arc83_c=8412.alb,Pure,1,0.2208,0.8572,0.1283
arc83_c=8898.alb,Exact,1,0.9985,0.0052,600.7771
arc83_c=8898.alb,Hybrid,1,0.0912,1.0,11.7691
arc83_c=8898.alb,MOEAD,2,0.112,0.9947,2.9651
arc83_c=8898.alb,MOVNS,2,0.1119,0.9948,0.1765
arc83_c=8898.alb,NSGA2,2,0.3192,0.75,0.7702
arc83_c=8898.alb,Pure,1,0.0912,1.0,0.0578
barthol2_c=106.alb,Exact,1,0.2069,1.0,602.2529
barthol2_c=106.alb,Hybrid,1,0.2069,1.0,15.2639
barthol2_c=106.alb,MOEAD,6,0.7867,0.6875,6.3399
barthol2_c=106.alb,MOVNS,5,0.7745,0.6875,1.1683
barthol2_c=106.alb,NSGA2,7,0.8417,0.625,1.5086
barthol2_c=106.alb,Pure,1,0.2044,1.0,1.6025
barthol2_c=125.alb,Exact,1,0.1901,1.0,603.9709
barthol2_c=125.alb,Hybrid,1,0.3168,0.9333,15.6929
barthol2_c=125.alb,MOEAD,6,0.7668,0.6667,6.2668
barthol2_c=125.alb,MOVNS,5,0.7946,0.6667,1.6147
barthol2_c=125.alb,NSGA2,5,0.8838,0.6,1.479
barthol2_c=125.alb,Pure,1,0.4435,0.8667,1.3633
barthold_c=626.alb,Exact,1,0.8662,0.6924,605.247
barthold_c=626.alb,Hybrid,1,0.2125,1.0,16.1688
barthold_c=626.alb,MOEAD,1,0.1828,1.0,28.1456
barthold_c=626.alb,MOVNS,1,0.0193,1.0,4.4788
barthold_c=626.alb,NSGA2,1,0.0936,1.0,6.9791
barthold_c=626.alb,Pure,1,0.1977,1.0,3.4286
hahn_c=2338.alb,Exact,1,0.2025,1.0,229.146
hahn_c=2338.alb,Hybrid,1,0.8773,0.6667,12.6755
hahn_c=2338.alb,MOEAD,2,0.3461,0.6667,3.0858
hahn_c=2338.alb,MOVNS,2,0.3461,0.6667,0.2764
hahn_c=2338.alb,NSGA2,2,0.3461,0.6667,0.8587
hahn_c=2338.alb,Pure,1,0.0799,1.0,0.022
lutz2_c=18.alb,Exact,1,0.1581,1.0,600.819
lutz2_c=18.alb,Hybrid,1,0.1581,1.0,11.8851
lutz2_c=18.alb,MOEAD,4,0.8214,0.4286,3.4699
lutz2_c=18.alb,MOVNS,5,0.7587,0.2857,1.4926
lutz2_c=18.alb,NSGA2,5,0.8768,0.4286,0.8592
lutz2_c=18.alb,Pure,1,0.5821,0.7143,0.1876
lutz3_c=127.alb,Exact,1,0.1549,1.0,601.368
lutz3_c=127.alb,Hybrid,1,0.9294,0.5,11.6409
lutz3_c=127.alb,MOEAD,1,0.085,0.9994,6.1541
lutz3_c=127.alb,MOVNS,3,0.1553,0.9994,1.2294
lutz3_c=127.alb,NSGA2,2,0.1556,0.9994,1.5853
lutz3_c=127.alb,Pure,1,0.085,0.9994,0.1164
lutz3_c=127_1.alb,Exact,1,0.0909,1.0,601.7832
lutz3_c=127_1.alb,Hybrid,1,1.0,0.0001,11.7153
lutz3_c=127_1.alb,MOEAD,2,0.0912,0.9995,10.3816
lutz3_c=127_1.alb,MOVNS,1,0.0498,0.9997,0.5805
lutz3_c=127_1.alb,NSGA2,2,0.5868,0.5,2.7009
lutz3_c=127_1.alb,Pure,1,0.0498,0.9995,0.14
mukherje_c=192.alb,Exact,1,0.6969,0.3335,615.4674
mukherje_c=192.alb,Hybrid,1,0.394,0.6667,13.5563
mukherje_c=192.alb,MOEAD,3,0.8164,0.3333,14.4154
mukherje_c=192.alb,MOVNS,3,0.5133,0.3334,5.023
mukherje_c=192.alb,NSGA2,4,1.0,0.0001,3.5493
mukherje_c=192.alb,Pure,1,0.394,0.6667,0.9061
mukherje_c=222.alb,Exact,1,0.527,0.6667,604.3843
mukherje_c=222.alb,Hybrid,1,0.527,0.6667,13.0696
mukherje_c=222.alb,MOEAD,4,0.7359,0.3333,13.348
mukherje_c=222.alb,MOVNS,2,0.7174,0.3333,4.173
mukherje_c=222.alb,NSGA2,3,0.6345,0.3333,3.3196
mukherje_c=222.alb,Pure,1,0.8618,0.3333,1.8125
mukherje_c=248.alb,Exact,1,0.9988,0.0027,603.9401
mukherje_c=248.alb,Hybrid,1,0.2427,0.8333,12.8384
mukherje_c=248.alb,MOEAD,3,0.3944,0.6667,13.2107
mukherje_c=248.alb,MOVNS,3,0.4081,0.6667,2.4686
mukherje_c=248.alb,NSGA2,3,0.5459,0.5,3.1926
mukherje_c=248.alb,Pure,1,0.2427,0.8333,2.5308
mukherje_c=248_1.alb,Exact,1,0.0919,1.0,605.2744
mukherje_c=248_1.alb,Hybrid,1,0.8956,0.125,13.139
mukherje_c=248_1.alb,MOEAD,3,0.9582,0.0625,12.8823
mukherje_c=248_1.alb,MOVNS,1,0.953,0.0625,1.844
mukherje_c=248_1.alb,NSGA2,4,1.0,0.0001,3.2061
mukherje_c=248_1.alb,Pure,1,0.8956,0.125,3.0084
mukherje_c=301.alb,Exact,1,0.3003,1.0,604.5416
mukherje_c=301.alb,Hybrid,1,0.3003,1.0,11.3993
mukherje_c=301.alb,MOEAD,2,0.7582,0.8333,3.4358
mukherje_c=301.alb,MOVNS,2,0.754,0.8333,0.493
mukherje_c=301.alb,NSGA2,2,0.7725,0.8333,0.8492
mukherje_c=301.alb,Pure,1,0.3003,1.0,0.7535
mukherje_c=301_1.alb,Exact,1,1.0,0.0001,608.3416
mukherje_c=301_1.alb,Hybrid,1,0.5455,0.5,16.966
mukherje_c=301_1.alb,MOEAD,3,0.516,0.5,21.1475
mukherje_c=301_1.alb,MOVNS,2,0.6222,0.5,5.4197
mukherje_c=301_1.alb,NSGA2,2,0.2916,0.7143,5.2103
mukherje_c=301_1.alb,Pure,1,0.5455,0.5,2.7562
mukherje_c=351.alb,Exact,1,0.167,1.0,604.6422
mukherje_c=351.alb,Hybrid,1,0.8385,0.5,20.4942
mukherje_c=351.alb,MOEAD,2,0.8968,0.5,36.785
mukherje_c=351.alb,MOVNS,2,0.4297,0.5641,7.9651
mukherje_c=351.alb,NSGA2,3,0.7197,0.3077,8.5457
mukherje_c=351.alb,Pure,1,0.9085,0.5,4.0856
Tonge70_c=176.alb,Exact,1,0.9998,0.0007,601.7942
Tonge70_c=176.alb,Hybrid,1,0.2046,0.875,10.1754
Tonge70_c=176.alb,MOEAD,4,0.3975,0.625,14.706
Tonge70_c=176.alb,MOVNS,4,0.3975,0.625,2.4714
Tonge70_c=176.alb,NSGA2,4,0.4423,0.625,3.1991
Tonge70_c=176.alb,Pure,1,0.0909,1.0,0.3577
Tonge70_c=251.alb,Exact,1,0.9998,0.0005,601.0371
Tonge70_c=251.alb,Hybrid,1,0.0909,1.0,9.4556
Tonge70_c=251.alb,MOEAD,2,0.372,0.6,7.4774
Tonge70_c=251.alb,MOVNS,3,0.4546,0.6,1.3325
Tonge70_c=251.alb,NSGA2,4,0.4712,0.6,1.7976
Tonge70_c=251.alb,Pure,1,0.2728,0.8,0.1621
Tonge70_c=293.alb,Exact,1,0.9999,0.0006,151.3734
Tonge70_c=293.alb,Hybrid,1,0.2425,0.8333,10.2793
Tonge70_c=293.alb,MOEAD,3,0.2563,0.8333,12.0065
Tonge70_c=293.alb,MOVNS,3,0.3429,0.6667,2.4761
Tonge70_c=293.alb,NSGA2,3,0.335,0.6667,2.7447
Tonge70_c=293.alb,Pure,1,0.2425,0.8333,0.2884
Tonge70_c=293_1.alb,Exact,1,0.9995,0.0013,601.0245
Tonge70_c=293_1.alb,Hybrid,1,0.3942,0.6667,10.2137
Tonge70_c=293_1.alb,MOEAD,3,0.2564,0.8333,7.5756
Tonge70_c=293_1.alb,MOVNS,2,0.215,0.6667,0.7243
Tonge70_c=293_1.alb,NSGA2,3,0.4769,0.5,1.7665
Tonge70_c=293_1.alb,Pure,1,0.2426,0.8333,0.2025
warnecke_c=104.alb,Exact,1,0.1997,1.0,54.8958
warnecke_c=104.alb,Hybrid,1,0.44,0.875,10.0432
warnecke_c=104.alb,MOEAD,4,0.8814,0.625,2.4173
warnecke_c=104.alb,MOVNS,3,0.8721,0.625,0.4201
warnecke_c=104.alb,NSGA2,4,0.867,0.625,0.5931
warnecke_c=104.alb,Pure,1,0.4493,0.875,0.0434
warnecke_c=56.alb,Exact,1,0.1929,1.0,602.0317
warnecke_c=56.alb,Hybrid,1,0.1929,1.0,11.337
warnecke_c=56.alb,MOEAD,4,0.7757,0.6667,7.8269
warnecke_c=56.alb,MOVNS,6,0.8772,0.5833,0.6055
warnecke_c=56.alb,NSGA2,5,0.752,0.6667,1.764
warnecke_c=56.alb,Pure,1,0.3449,0.9167,0.1631
warnecke_c=58.alb,Exact,1,0.999,0.0028,601.6638
warnecke_c=58.alb,Hybrid,1,0.1561,0.9286,10.2961
warnecke_c=58.alb,MOEAD,5,0.4162,0.6429,13.4404
warnecke_c=58.alb,MOVNS,6,0.2389,0.8571,1.8461
warnecke_c=58.alb,NSGA2,5,0.3571,0.7143,2.985
warnecke_c=58.alb,Pure,1,0.1561,0.9286,0.1789
warnecke_c=78.alb,Exact,1,0.1802,1.0,604.6739
warnecke_c=78.alb,Hybrid,1,0.4953,0.8182,9.1286
warnecke_c=78.alb,MOEAD,6,0.9066,0.5455,7.7307
warnecke_c=78.alb,MOVNS,5,0.8652,0.5455,0.7437
warnecke_c=78.alb,NSGA2,5,0.8942,0.5455,1.4702
warnecke_c=78.alb,Pure,1,0.3355,0.9091,0.1339
warnecke_c=86.alb,Exact,1,0.1699,1.0,611.2596
warnecke_c=86.alb,Hybrid,1,0.5946,0.75,9.7376
warnecke_c=86.alb,MOEAD,3,0.7631,0.625,12.9106
warnecke_c=86.alb,MOVNS,3,0.8982,0.5,0.7924
warnecke_c=86.alb,NSGA2,4,0.728,0.625,2.3017
warnecke_c=86.alb,Pure,1,0.57,0.75,0.1471
warnecke_c=97.alb,Exact,1,0.9998,0.0006,426.9517
warnecke_c=97.alb,Hybrid,1,0.2046,0.875,11.4462
warnecke_c=97.alb,MOEAD,3,0.2604,0.75,12.9106
warnecke_c=97.alb,MOVNS,3,0.3286,0.75,1.325
warnecke_c=97.alb,NSGA2,3,0.3534,0.625,2.0451
warnecke_c=97.alb,Pure,1,0.2046,0.875,0.1171
warnecke_c=97_1.alb,Exact,1,0.9994,0.0015,190.1039
warnecke_c=97_1.alb,Hybrid,1,0.4322,0.625,10.5046
warnecke_c=97_1.alb,MOEAD,3,0.3288,0.75,7.1671
warnecke_c=97_1.alb,MOVNS,3,0.1737,0.75,0.6413
warnecke_c=97_1.alb,NSGA2,4,0.1841,0.75,1.3507
warnecke_c=97_1.alb,Pure,1,0.0496,1.0,0.0945
wee-mag_c=29.alb,Exact,1,0.1581,1.0,217.3329
wee-mag_c=29.alb,Hybrid,1,0.1581,1.0,13.1814
wee-mag_c=29.alb,MOEAD,4,0.9302,0.4286,30.887
wee-mag_c=29.alb,MOVNS,4,0.7536,0.5714,5.2903
wee-mag_c=29.alb,NSGA2,5,0.922,0.4286,7.0994
wee-mag_c=29.alb,Pure,1,0.1581,1.0,0.9662
wee-mag_c=36.alb,Exact,1,0.2883,1.0,600.4538
wee-mag_c=36.alb,Hybrid,1,0.4194,0.9545,10.8813
wee-mag_c=36.alb,MOEAD,5,0.7828,0.8182,3.3547
wee-mag_c=36.alb,MOVNS,4,0.7714,0.8182,0.4116
wee-mag_c=36.alb,NSGA2,4,0.7769,0.8182,0.8509
wee-mag_c=36.alb,Pure,1,0.4194,0.9545,0.1176
wee-mag_c=36_1.alb,Exact,1,0.2868,1.0,600.7296
wee-mag_c=36_1.alb,Hybrid,1,0.4085,0.9545,10.2255
wee-mag_c=36_1.alb,MOEAD,5,0.7759,0.8182,3.6523
