Instance,Algorithm,Z1_Pareto,Z2_Pareto,Status,Time_Sec
bowman8_c=20.alb,CPLEX,4,200099,Optimal,0.4053
jackson_c=10.alb,CPLEX,5,123,Feasible (Timeout),0.2625
jackson_c=10_1.alb,CPLEX,5,123,Feasible (Timeout),0.8267
jackson_c=10_2.alb,CPLEX,5,123,Feasible (Timeout),0.9154
jackson_c=10_3.alb,CPLEX,5,123,Feasible (Timeout),0.9946
jackson_c=10_4.alb,CPLEX,5,130,Feasible (Timeout),0.8983
jackson_c=13.alb,CPLEX,4,123,Feasible (Timeout),0.0622
jackson_c=13_1.alb,CPLEX,4,116,Feasible (Timeout),0.278
jackson_c=13_2.alb,CPLEX,4,144,Feasible (Timeout),0.1809
jackson_c=13_3.alb,CPLEX,4,130,Feasible (Timeout),0.063
jackson_c=14.alb,CPLEX,3,151,Optimal,0.0812
jackson_c=7.alb,CPLEX,7,137,Optimal,0.197
jackson_c=9.alb,CPLEX,5,137,Feasible (Timeout),0.1385
jackson_c=9_1.alb,CPLEX,5,137,Feasible (Timeout),0.207
jackson_c=9_2.alb,CPLEX,5,130,Optimal,0.5056
jaeschke_c=10.alb,CPLEX,4,100,Feasible (Timeout),0.0625
jaeschke_c=10_1.alb,CPLEX,4,100,Feasible (Timeout),0.1045
jaeschke_c=18.alb,CPLEX,2,100121,Feasible (Timeout),0.1325
jaeschke_c=18_1.alb,CPLEX,2,114,Optimal,0.0775
jaeschke_c=18_2.alb,CPLEX,2,114,Optimal,0.1175
jaeschke_c=18_3.alb,CPLEX,2,200114,Optimal,0.148
jaeschke_c=6.alb,CPLEX,8,86,Optimal,0.4965
jaeschke_c=6_1.alb,CPLEX,8,86,Feasible (Timeout),0.273
jaeschke_c=7.alb,CPLEX,7,93,Optimal,1.0674
jaeschke_c=7_1.alb,CPLEX,7,93,Optimal,0.5446
jaeschke_c=7_2.alb,CPLEX,7,93,Optimal,0.8067
jaeschke_c=7_3.alb,CPLEX,7,93,Optimal,0.186
jaeschke_c=7_4.alb,CPLEX,7,93,Optimal,0.6039
jaeschke_c=8.alb,CPLEX,5,107,Optimal,0.0245
jaeschke_c=8_1.alb,CPLEX,5,107,Feasible (Timeout),0.2
mansoor_c=48.alb,CPLEX,4,137,Feasible (Timeout),0.075
mansoor_c=62.alb,CPLEX,3,130,Feasible (Timeout),0.129
mansoor_c=62_1.alb,CPLEX,3,109,Optimal,0.3305
mansoor_c=62_2.alb,CPLEX,3,116,Feasible (Timeout),0.0785
mansoor_c=94.alb,CPLEX,2,109,Optimal,0.022
mansoor_c=94_1.alb,CPLEX,2,109,Optimal,0.226
mansoor_c=94_2.alb,CPLEX,2,109,Optimal,0.0682
mertens_c=10.alb,CPLEX,3,84,Feasible (Timeout),0.381
mertens_c=15.alb,CPLEX,2,77,Optimal,0.7114
mertens_c=18.alb,CPLEX,2,77,Feasible (Timeout),0.163
mertens_c=6.alb,CPLEX,6,63,Optimal,0.016
mertens_c=6_1.alb,CPLEX,6,63,Optimal,0.016
mertens_c=6_2.alb,CPLEX,6,63,Optimal,0.014
mertens_c=6_3.alb,CPLEX,6,63,Optimal,0.016
mertens_c=7.alb,CPLEX,5,84,Optimal,0.428
mertens_c=7_1.alb,CPLEX,5,84,Optimal,0.4776
mertens_c=7_2.alb,CPLEX,5,100084,Feasible (Timeout),0.218
mertens_c=7_3.alb,CPLEX,5,84,Feasible (Timeout),0.4459
mertens_c=7_4.alb,CPLEX,5,84,Feasible (Timeout),0.1035
mertens_c=8.alb,CPLEX,4,91,Feasible (Timeout),0.1395
