Instance,Algorithm,Z1_Pareto,Z2_Pareto,Status,Time_Sec
buxey_c=36.alb,CPLEX,8,379,Feasible (Timeout),7.0567
gunther_c=44.alb,CPLEX,10,392,Feasible (Timeout),5.7638
gunther_c=49.alb,CPLEX,9,399,Feasible (Timeout),3.8853
gunther_c=54.alb,CPLEX,8,448,Feasible (Timeout),21.0021
gunther_c=69.alb,CPLEX,6,448,Feasible (Timeout),2.6575
gunther_c=69_1.alb,CPLEX,6,448,Feasible (Timeout),1.5472
gunther_c=69_2.alb,CPLEX,6,455,Feasible (Timeout),5.0146
gunther_c=69_3.alb,CPLEX,6,100448,Feasible (Timeout),24.2168
heskia_c=138.alb,CPLEX,7,294,Feasible (Timeout),1.0804
heskia_c=216.alb,CPLEX,4,343,Feasible (Timeout),1.0473
heskia_c=256.alb,CPLEX,4,273,Feasible (Timeout),0.4229
heskia_c=342.alb,CPLEX,3,280,Feasible (Timeout),0.3284
kilbrid_c=110.alb,CPLEX,5,479,Feasible (Timeout),0.5973
kilbrid_c=110_1.alb,CPLEX,5,479,Feasible (Timeout),7.9025
kilbrid_c=138.alb,CPLEX,4,458,Feasible (Timeout),2.4366
kilbrid_c=184.alb,CPLEX,3,486,Feasible (Timeout),0.7393
kilbrid_c=56.alb,CPLEX,9,535,Feasible (Timeout),16.3646
kilbrid_c=57.alb,CPLEX,9,535,Feasible (Timeout),3.0472
kilbrid_c=62.alb,CPLEX,8,556,Feasible (Timeout),11.8314
kilbrid_c=62_1.alb,CPLEX,8,549,Feasible (Timeout),14.2286
kilbrid_c=92.alb,CPLEX,5,100668,Optimal,3.5575
lutz1_c=1414.alb,CPLEX,9,438,Feasible (Timeout),33.9229
lutz1_c=1414_1.alb,CPLEX,9,417,Feasible (Timeout),5.1089
lutz1_c=1414_2.alb,CPLEX,9,403,Feasible (Timeout),13.8348
lutz1_c=1572.alb,CPLEX,8,417,Feasible (Timeout),4.2859
lutz1_c=1572_1.alb,CPLEX,8,431,Feasible (Timeout),4.6128
lutz1_c=2357.alb,CPLEX,5,466,Feasible (Timeout),6.9803
lutz1_c=2357_1.alb,CPLEX,5,200452,Feasible (Timeout),11.7813
lutz1_c=2357_2.alb,CPLEX,5,100473,Feasible (Timeout),11.0661
lutz1_c=2357_3.alb,CPLEX,5,445,Feasible (Timeout),3.9475
mitchell_c=14.alb,CPLEX,7,294,Feasible (Timeout),0.1982
mitchell_c=15.alb,CPLEX,7,259,Feasible (Timeout),0.5831
mitchell_c=15_1.alb,CPLEX,7,259,Feasible (Timeout),0.852
mitchell_c=21.alb,CPLEX,5,245,Feasible (Timeout),0.3256
mitchell_c=26.alb,CPLEX,4,245,Feasible (Timeout),0.5968
roszieg_c=14.alb,CPLEX,9,312,Optimal,1.0752
roszieg_c=16.alb,CPLEX,7,368,Optimal,0.5725
roszieg_c=16_1.alb,CPLEX,7,368,Optimal,0.5743
roszieg_c=25.alb,CPLEX,5,298,Feasible (Timeout),0.9223
roszieg_c=25_1.alb,CPLEX,5,298,Feasible (Timeout),0.5779
roszieg_c=32.alb,CPLEX,4,284,Feasible (Timeout),0.7123
roszieg_c=32_1.alb,CPLEX,4,277,Feasible (Timeout),0.5663
roszieg_c=32_2.alb,CPLEX,4,277,Feasible (Timeout),1.6921
sawyer30_c=25.alb,CPLEX,12,380,Feasible (Timeout),6.178
sawyer30_c=25_1.alb,CPLEX,12,380,Feasible (Timeout),14.1742
Sawyer30_c=33.alb,CPLEX,9,380,Feasible (Timeout),14.409
Sawyer30_c=33_1.alb,CPLEX,9,373,Feasible (Timeout),7.2033
sawyer30_c=41.alb,CPLEX,7,394,Feasible (Timeout),1.9155
sawyer30_c=41_1.alb,CPLEX,7,401,Feasible (Timeout),3.1271
sawyer30_c=41_2.alb,CPLEX,7,401,Feasible (Timeout),11.1574
