Instance,Algorithm,Z1_Pareto,Z2_Pareto,Status,Time_Sec
Arc111_c=17067.alb,CPLEX,8,1161,Feasible (Timeout),602.1763
Arc111_c=6267.alb,CPLEX,33,916,Feasible (Timeout),602.5051
Arc111_c=9400.alb,CPLEX,15,1140,Feasible (Timeout),600.8498
Arc83_c=5824.alb,CPLEX,25,671,Feasible (Timeout),603.3844
Arc83_c=5824_1.alb,CPLEX,11,1147,Feasible (Timeout),474.3811
Arc83_c=7571.alb,CPLEX,9,1070,Feasible (Timeout),494.3113
arc83_c=8412.alb,CPLEX,12,100692,Feasible (Timeout),601.4838
arc83_c=8898.alb,CPLEX,7,1189,Feasible (Timeout),600.7771
barthol2_c=106.alb,CPLEX,38,1709,Feasible (Timeout),602.2529
barthol2_c=125.alb,CPLEX,32,1765,Feasible (Timeout),603.9709
barthold_c=626.alb,CPLEX,10,1501331,Feasible (Timeout),605.247
hahn_c=2338.alb,CPLEX,5,300718,Feasible (Timeout),229.146
lutz2_c=18.alb,CPLEX,31,866,Feasible (Timeout),600.819
lutz3_c=127.alb,CPLEX,18,712,Feasible (Timeout),601.368
lutz3_c=127_1.alb,CPLEX,18,712,Feasible (Timeout),601.7832
mukherje_c=192.alb,CPLEX,26,100815,Feasible (Timeout),615.4674
mukherje_c=222.alb,CPLEX,25,752,Feasible (Timeout),604.3843
mukherje_c=248.alb,CPLEX,17,1025,Feasible (Timeout),603.9401
mukherje_c=248_1.alb,CPLEX,36,759,Feasible (Timeout),605.2744
mukherje_c=301.alb,CPLEX,12,1200,Feasible (Timeout),604.5416
mukherje_c=301_1.alb,CPLEX,17,822,Feasible (Timeout),608.3416
mukherje_c=351.alb,CPLEX,16,773,Feasible (Timeout),604.6422
Tonge70_c=176.alb,CPLEX,19,784,Feasible (Timeout),601.7942
Tonge70_c=251.alb,CPLEX,14,749,Feasible (Timeout),601.0371
Tonge70_c=293.alb,CPLEX,10,952,Feasible (Timeout),151.3734
Tonge70_c=293_1.alb,CPLEX,11,826,Feasible (Timeout),601.0245
warnecke_c=104.alb,CPLEX,13,772,Feasible (Timeout),54.8958
warnecke_c=56.alb,CPLEX,26,723,Feasible (Timeout),602.0317
warnecke_c=58.alb,CPLEX,24,744,Feasible (Timeout),601.6638
warnecke_c=78.alb,CPLEX,18,723,Feasible (Timeout),604.6739
warnecke_c=86.alb,CPLEX,18,632,Feasible (Timeout),611.2596
warnecke_c=97.alb,CPLEX,14,779,Feasible (Timeout),426.9517
warnecke_c=97_1.alb,CPLEX,14,779,Feasible (Timeout),190.1039
wee-mag_c=29.alb,CPLEX,60,775,Feasible (Timeout),217.3329
wee-mag_c=36.alb,CPLEX,42,908,Feasible (Timeout),600.4538
wee-mag_c=36_1.alb,CPLEX,42,908,Feasible (Timeout),600.7296
wee-mag_c=40.alb,CPLEX,32,1055,Feasible (Timeout),604.2142
wee-mag_c=41.alb,CPLEX,32,1062,Feasible (Timeout),607.8361
wee-mag_c=52.alb,CPLEX,28,922,Feasible (Timeout),601.7871
