Instance,Tasks,CycleTime,Z1_Best,Z2_Best,Z2_Avg,Time_Avg,Feasibility_Rate
bowman8_c=20.alb,8,20,5,64,68.2,0.0311,100.0%
jackson_c=10.alb,11,10,7,95,95.0,0.0631,100.0%
jackson_c=10_1.alb,11,10,7,95,95.0,0.0629,100.0%
jackson_c=10_2.alb,11,10,7,88,93.6,0.063,100.0%
jackson_c=10_3.alb,11,10,6,88,96.4,0.0596,100.0%
jackson_c=10_4.alb,11,10,7,95,95.0,0.053,100.0%
jackson_c=13.alb,11,13,4,95,106.2,0.0693,100.0%
jackson_c=13_1.alb,11,13,4,88,97.8,0.0619,100.0%
jackson_c=13_2.alb,11,13,5,88,96.4,0.0596,100.0%
jackson_c=13_3.alb,11,13,4,88,97.8,0.0629,100.0%
jackson_c=14.alb,11,14,5,88,90.8,0.0624,100.0%
jackson_c=7.alb,11,7,8,95,103.4,0.043,100.0%
jackson_c=9.alb,11,9,8,88,90.8,0.0471,100.0%
jackson_c=9_1.alb,11,9,8,88,88.0,0.0469,100.0%
jackson_c=9_2.alb,11,9,8,88,88.0,0.0465,100.0%
jaeschke_c=10.alb,9,10,5,79,81.8,0.031,100.0%
jaeschke_c=10_1.alb,9,10,5,79,80.4,0.0437,100.0%
jaeschke_c=18.alb,9,18,3,72,72.0,0.0469,100.0%
jaeschke_c=18_1.alb,9,18,2,72,84.6,0.0343,100.0%
jaeschke_c=18_2.alb,9,18,3,72,76.2,0.0376,100.0%
jaeschke_c=18_3.alb,9,18,3,72,76.2,0.0307,100.0%
jaeschke_c=6.alb,9,6,8,72,77.6,0.0311,100.0%
jaeschke_c=6_1.alb,9,6,8,72,77.6,0.0307,100.0%
jaeschke_c=7.alb,9,7,8,72,72.0,0.0309,100.0%
jaeschke_c=7_1.alb,9,7,8,72,73.4,0.0403,100.0%
jaeschke_c=7_2.alb,9,7,8,72,72.0,0.0307,100.0%
jaeschke_c=7_3.alb,9,7,8,72,72.0,0.0317,100.0%
jaeschke_c=7_4.alb,9,7,8,72,72.0,0.0399,100.0%
jaeschke_c=8.alb,9,8,5,93,104.2,0.0311,100.0%
jaeschke_c=8_1.alb,9,8,7,79,79.0,0.0309,100.0%
mansoor_c=48.alb,11,48,4,102,109.0,0.0628,100.0%
mansoor_c=62.alb,11,62,4,88,100.6,0.0561,100.0%
mansoor_c=62_1.alb,11,62,4,88,92.2,0.0632,100.0%
mansoor_c=62_2.alb,11,62,4,88,97.8,0.0629,100.0%
mansoor_c=94.alb,11,94,3,88,90.8,0.0627,100.0%
mansoor_c=94_1.alb,11,94,3,88,90.8,0.066,100.0%
mansoor_c=94_2.alb,11,94,2,88,102.0,0.0719,100.0%
mertens_c=10.alb,7,10,4,56,60.2,0.0304,100.0%
mertens_c=15.alb,7,15,3,56,56.0,0.0314,100.0%
mertens_c=18.alb,7,18,2,56,58.8,0.0309,100.0%
mertens_c=6.alb,7,6,6,56,58.8,0.0155,100.0%
mertens_c=6_1.alb,7,6,6,56,61.6,0.0153,100.0%
mertens_c=6_2.alb,7,6,6,56,57.4,0.0155,100.0%
mertens_c=6_3.alb,7,6,6,56,58.8,0.0153,100.0%
mertens_c=7.alb,7,7,6,56,61.6,0.0183,100.0%
mertens_c=7_1.alb,7,7,6,63,65.8,0.0157,100.0%
mertens_c=7_2.alb,7,7,6,56,64.4,0.0154,100.0%
mertens_c=7_3.alb,7,7,6,56,61.6,0.0155,100.0%
mertens_c=7_4.alb,7,7,6,56,58.8,0.0155,100.0%
mertens_c=8.alb,7,8,6,56,56.0,0.031,100.0%
