Instance,Tasks,CycleTime,Z1_Best,Z2_Best,Z2_Avg,Time_Avg,Feasibility_Rate
buxey_c=36.alb,29,36,10,239,295.0,1.2649,100.0%
gunther_c=44.alb,35,44,11,287,324.8,2.8004,100.0%
gunther_c=49.alb,35,49,11,294,310.8,3.3627,100.0%
gunther_c=54.alb,35,54,10,287,309.4,3.6318,100.0%
gunther_c=69.alb,35,69,7,287,306.6,5.4462,100.0%
gunther_c=69_1.alb,35,69,9,287,295.4,5.9295,100.0%
gunther_c=69_2.alb,35,69,8,280,313.6,6.2171,100.0%
gunther_c=69_3.alb,35,69,10,308,322.0,5.1836,100.0%
heskia_c=138.alb,28,138,10,224,229.6,2.2489,100.0%
heskia_c=216.alb,28,216,6,231,250.6,2.4154,100.0%
heskia_c=256.alb,28,256,5,224,225.4,2.8351,100.0%
heskia_c=342.alb,28,342,6,224,226.8,2.0715,100.0%
kilbrid_c=110.alb,45,110,6,360,393.6,10.6586,100.0%
kilbrid_c=110_1.alb,45,110,9,360,365.6,6.6495,100.0%
kilbrid_c=138.alb,45,138,4,360,388.0,10.6165,100.0%
kilbrid_c=184.alb,45,184,4,409,439.8,11.3034,100.0%
kilbrid_c=56.alb,45,56,12,360,395.0,8.0699,100.0%
kilbrid_c=57.alb,45,57,13,360,361.4,7.7763,100.0%
kilbrid_c=62.alb,45,62,12,360,360.0,7.8811,100.0%
kilbrid_c=62_1.alb,45,62,12,360,362.8,8.135,100.0%
kilbrid_c=92.alb,45,92,9,360,372.6,6.4847,100.0%
lutz1_c=1414.alb,32,1414,10,270,326.0,2.8402,100.0%
lutz1_c=1414_1.alb,32,1414,13,270,271.4,2.7738,100.0%
lutz1_c=1414_2.alb,32,1414,11,270,298.0,2.3157,100.0%
lutz1_c=1572.alb,32,1572,12,256,260.2,2.6749,100.0%
lutz1_c=1572_1.alb,32,1572,12,256,264.4,2.4597,100.0%
lutz1_c=2357.alb,32,2357,7,298,316.2,3.493,100.0%
lutz1_c=2357_1.alb,32,2357,6,263,300.8,3.6983,100.0%
lutz1_c=2357_2.alb,32,2357,7,263,298.0,3.79,100.0%
lutz1_c=2357_3.alb,32,2357,7,256,268.6,4.0437,100.0%
mitchell_c=14.alb,21,14,11,175,186.2,0.4189,100.0%
mitchell_c=15.alb,21,15,10,175,177.8,0.443,100.0%
mitchell_c=15_1.alb,21,15,10,175,176.4,0.4763,100.0%
mitchell_c=21.alb,21,21,6,168,175.0,0.5461,100.0%
mitchell_c=26.alb,21,26,6,168,169.4,0.6987,100.0%
roszieg_c=14.alb,25,14,12,207,211.2,0.6949,100.0%
roszieg_c=16.alb,25,16,11,207,208.4,0.9134,100.0%
roszieg_c=16_1.alb,25,16,8,256,284.0,0.974,100.0%
roszieg_c=25.alb,25,25,6,214,239.2,1.2478,100.0%
roszieg_c=25_1.alb,25,25,6,207,216.8,1.2499,100.0%
roszieg_c=32.alb,25,32,4,214,235.0,1.3606,100.0%
roszieg_c=32_1.alb,25,32,5,207,212.6,1.2281,100.0%
roszieg_c=32_2.alb,25,32,5,214,233.6,1.2262,100.0%
sawyer30_c=25.alb,30,25,18,240,249.8,1.2263,100.0%
sawyer30_c=25_1.alb,30,25,18,240,247.0,1.1082,100.0%
Sawyer30_c=33.alb,30,33,10,310,333.8,1.6499,100.0%
Sawyer30_c=33_1.alb,30,33,14,240,244.2,1.571,100.0%
sawyer30_c=41.alb,30,41,8,240,262.4,2.1463,100.0%
sawyer30_c=41_1.alb,30,41,11,240,244.2,2.2313,100.0%
sawyer30_c=41_2.alb,30,41,9,240,266.6,2.0856,100.0%
