Instance,Tasks,CycleTime,Z1_Best,Z2_Best,Z2_Avg,Time_Avg,Feasibility_Rate
Arc111_c=17067.alb,111,17067,97,895,80000178.2,12.0518,20.0%
Arc111_c=6267.alb,111,6267,110,909,80000181.0,12.1332,20.0%
Arc111_c=9400.alb,111,9400,21,888,892.2,12.398,100.0%
Arc83_c=5408.alb,83,5408,45,664,675.2,11.4712,100.0%
Arc83_c=5824.alb,83,5824,32,664,668.2,11.3749,100.0%
Arc83_c=5824_1.alb,83,5824,16,664,20000547.8,11.0723,80.0%
Arc83_c=7571.alb,83,7571,999,99999999,99999999.0,10.2522,0.0%
arc83_c=8412.alb,83,8412,999,99999999,99999999.0,11.4913,0.0%
arc83_c=8898.alb,83,8898,11,671,60000267.8,11.3334,40.0%
barthol2_c=106.alb,148,106,53,1191,1198.0,19.2446,100.0%
barthol2_c=125.alb,148,125,45,1184,1192.4,19.8853,100.0%
barthol2_c=125_1.alb,148,125,999,99999999,99999999.0,14.7516,0.0%
barthol2_c=93.alb,148,93,999,99999999,99999999.0,16.3392,0.0%
barthold_c=626.alb,148,626,999,99999999,99999999.0,13.2637,0.0%
hahn_c=2338.alb,53,2338,7,445,477.2,13.1025,100.0%
lutz2_c=12.alb,89,12,74,719,749.8,11.8725,100.0%
lutz2_c=13.alb,89,13,55,740,777.8,11.7827,100.0%
lutz2_c=18.alb,89,18,37,719,734.4,11.8182,100.0%
lutz3_c=127.alb,89,127,18,712,741.4,11.5108,100.0%
lutz3_c=127_1.alb,89,127,20,712,745.6,11.7694,100.0%
lutz3_c=75.alb,89,75,41,726,765.2,11.5543,100.0%
mukherje_c=192.alb,94,192,91,766,40000470.4,11.6102,60.0%
mukherje_c=222.alb,94,222,56,766,20000626.6,11.7355,80.0%
mukherje_c=248.alb,94,248,33,752,20000642.0,11.3368,80.0%
mukherje_c=248_1.alb,94,248,33,766,886.4,11.7493,100.0%
mukherje_c=301.alb,94,301,18,752,771.6,12.0192,100.0%
mukherje_c=301_1.alb,94,301,29,759,40000466.2,11.4332,60.0%
mukherje_c=351.alb,94,351,39,752,764.6,11.5675,100.0%
scholl_c=1548.alb,297,1548,57,2376,2397.0,28.1722,100.0%
scholl_c=1659.alb,297,1659,54,2383,20001906.2,27.4542,80.0%
scholl_c=1742.alb,297,1742,51,2390,2397.0,28.7079,100.0%
scholl_c=2177.alb,297,2177,40,2383,60000958.2,20.7403,40.0%
scholl_c=2322.alb,297,2322,999,99999999,99999999.0,17.2786,0.0%
Tonge70_c=176.alb,70,176,23,658,698.6,12.1978,100.0%
Tonge70_c=251.alb,70,251,17,574,628.6,12.0243,100.0%
Tonge70_c=293.alb,70,293,15,588,645.4,11.9718,100.0%
Tonge70_c=293_1.alb,70,293,15,581,631.4,11.8957,100.0%
warnecke_c=104.alb,58,104,20,471,478.0,13.0684,100.0%
warnecke_c=56.alb,58,56,29,485,616.6,7.9542,100.0%
warnecke_c=58.alb,58,58,30,464,599.8,7.9128,100.0%
warnecke_c=78.alb,58,78,22,478,601.2,13.0709,100.0%
warnecke_c=86.alb,58,86,21,590,606.8,13.038,100.0%
warnecke_c=97.alb,58,97,17,548,592.8,12.2919,100.0%
warnecke_c=97_1.alb,58,97,17,597,632.0,13.4365,100.0%
wee-mag_c=29.alb,75,29,63,600,640.6,8.4985,100.0%
wee-mag_c=36.alb,75,36,62,600,605.6,12.4652,100.0%
wee-mag_c=36_1.alb,75,36,62,600,608.4,12.3671,100.0%
wee-mag_c=40.alb,75,40,61,600,602.8,12.6049,100.0%
wee-mag_c=41.alb,75,41,44,600,756.8,12.1227,100.0%
wee-mag_c=52.alb,75,52,42,670,689.6,12.1011,100.0%
