Instance,Tasks,CycleTime,Z1_Best,Z2_Best,Z2_Avg,Time_Avg,Feasibility_Rate
bowman8_c=20.alb,8,20,5,64,66.8,0.0344,100.0%
jackson_c=10.alb,11,10,7,95,95.0,0.0641,100.0%
jackson_c=10_1.alb,11,10,6,88,96.4,0.0627,100.0%
jackson_c=10_2.alb,11,10,7,95,95.0,0.06,100.0%
jackson_c=10_3.alb,11,10,7,88,93.6,0.0591,100.0%
jackson_c=10_4.alb,11,10,7,95,95.0,0.0528,100.0%
jackson_c=13.alb,11,13,5,88,96.4,0.0632,100.0%
jackson_c=13_1.alb,11,13,5,88,95.0,0.079,100.0%
jackson_c=13_2.alb,11,13,5,88,92.2,0.0667,100.0%
jackson_c=13_3.alb,11,13,5,88,92.2,0.0663,100.0%
jackson_c=14.alb,11,14,4,88,96.4,0.0631,100.0%
jackson_c=7.alb,11,7,9,95,95.0,0.0718,100.0%
jackson_c=9.alb,11,9,8,88,92.2,0.057,100.0%
jackson_c=9_1.alb,11,9,8,88,89.4,0.0535,100.0%
jackson_c=9_2.alb,11,9,8,88,88.0,0.0605,100.0%
jaeschke_c=10.alb,9,10,5,79,81.8,0.0821,100.0%
jaeschke_c=10_1.alb,9,10,5,79,79.0,0.0906,100.0%
jaeschke_c=18.alb,9,18,3,72,72.0,0.0923,100.0%
jaeschke_c=18_1.alb,9,18,2,72,88.8,0.0942,100.0%
jaeschke_c=18_2.alb,9,18,3,72,76.2,0.1078,100.0%
jaeschke_c=18_3.alb,9,18,3,72,77.6,0.0997,100.0%
jaeschke_c=6.alb,9,6,8,72,77.6,0.0499,100.0%
jaeschke_c=6_1.alb,9,6,8,72,77.6,0.0529,100.0%
jaeschke_c=7.alb,9,7,8,72,73.4,0.0732,100.0%
jaeschke_c=7_1.alb,9,7,8,72,72.0,0.0667,100.0%
jaeschke_c=7_2.alb,9,7,8,72,72.0,0.0715,100.0%
jaeschke_c=7_3.alb,9,7,8,72,73.4,0.0698,100.0%
jaeschke_c=7_4.alb,9,7,8,72,72.0,0.075,100.0%
jaeschke_c=8.alb,9,8,5,107,109.8,0.0823,100.0%
jaeschke_c=8_1.alb,9,8,7,79,79.0,0.0758,100.0%
mansoor_c=48.alb,11,48,5,88,99.2,0.1737,100.0%
mansoor_c=62.alb,11,62,4,88,96.4,0.1609,100.0%
mansoor_c=62_1.alb,11,62,4,88,89.4,0.1582,100.0%
mansoor_c=62_2.alb,11,62,4,95,102.0,0.1416,100.0%
mansoor_c=94.alb,11,94,3,88,89.4,0.1574,100.0%
mansoor_c=94_1.alb,11,94,3,88,88.0,0.1473,100.0%
mansoor_c=94_2.alb,11,94,3,88,90.8,0.139,100.0%
mertens_c=10.alb,7,10,4,56,58.8,0.0585,100.0%
mertens_c=15.alb,7,15,3,56,56.0,0.0661,100.0%
mertens_c=18.alb,7,18,2,56,58.8,0.0692,100.0%
mertens_c=6.alb,7,6,6,56,58.8,0.0461,100.0%
mertens_c=6_1.alb,7,6,6,56,58.8,0.0372,100.0%
mertens_c=6_2.alb,7,6,6,56,57.4,0.0374,100.0%
mertens_c=6_3.alb,7,6,6,56,57.4,0.0348,100.0%
mertens_c=7.alb,7,7,6,56,56.0,0.035,100.0%
mertens_c=7_1.alb,7,7,6,63,65.8,0.0495,100.0%
mertens_c=7_2.alb,7,7,6,56,64.4,0.0372,100.0%
mertens_c=7_3.alb,7,7,6,56,57.4,0.0343,100.0%
mertens_c=7_4.alb,7,7,6,56,61.6,0.0406,100.0%
mertens_c=8.alb,7,8,6,56,56.0,0.0513,100.0%
