Instance,Tasks,CycleTime,Z1_Best,Z2_Best,Z2_Avg,Time_Avg,Feasibility_Rate
buxey_c=36.alb,29,36,12,232,244.6,1.7433,100.0%
gunther_c=44.alb,35,44,16,280,292.6,3.0451,100.0%
gunther_c=49.alb,35,49,11,287,309.4,3.3865,100.0%
gunther_c=54.alb,35,54,12,287,296.8,4.2479,100.0%
gunther_c=69.alb,35,69,9,280,288.4,6.1413,100.0%
gunther_c=69_1.alb,35,69,8,280,301.0,5.5688,100.0%
gunther_c=69_2.alb,35,69,8,329,352.8,5.8571,100.0%
gunther_c=69_3.alb,35,69,8,322,338.8,6.9488,100.0%
heskia_c=138.alb,28,138,10,224,228.2,1.4222,100.0%
heskia_c=216.alb,28,216,6,224,228.2,2.0082,100.0%
heskia_c=256.alb,28,256,6,224,224.0,2.0783,100.0%
heskia_c=342.alb,28,342,4,224,233.8,2.3799,100.0%
kilbrid_c=110.alb,45,110,7,360,362.8,10.9635,100.0%
kilbrid_c=110_1.alb,45,110,8,360,362.8,9.5053,100.0%
kilbrid_c=138.alb,45,138,5,360,362.8,9.7591,100.0%
kilbrid_c=184.alb,45,184,4,360,411.8,9.8642,100.0%
kilbrid_c=56.alb,45,56,11,360,383.8,7.689,100.0%
kilbrid_c=57.alb,45,57,13,360,360.0,7.9117,100.0%
kilbrid_c=62.alb,45,62,12,360,360.0,8.7187,100.0%
kilbrid_c=62_1.alb,45,62,12,360,361.4,7.4867,100.0%
kilbrid_c=92.alb,45,92,8,367,381.0,8.5453,100.0%
lutz1_c=1414.alb,32,1414,11,270,291.0,2.5615,100.0%
lutz1_c=1414_1.alb,32,1414,13,263,272.8,2.3847,100.0%
lutz1_c=1414_2.alb,32,1414,11,270,291.0,2.2648,100.0%
lutz1_c=1572.alb,32,1572,12,263,268.6,2.6774,100.0%
lutz1_c=1572_1.alb,32,1572,12,263,264.4,2.4395,100.0%
lutz1_c=2357.alb,32,2357,7,256,293.8,3.5587,100.0%
lutz1_c=2357_1.alb,32,2357,6,256,295.2,3.707,100.0%
lutz1_c=2357_2.alb,32,2357,6,263,324.6,3.6947,100.0%
lutz1_c=2357_3.alb,32,2357,8,256,261.6,3.7117,100.0%
mitchell_c=14.alb,21,14,9,175,201.6,0.4426,100.0%
mitchell_c=15.alb,21,15,10,175,177.8,0.4627,100.0%
mitchell_c=15_1.alb,21,15,10,175,177.8,0.4353,100.0%
mitchell_c=21.alb,21,21,6,168,184.8,0.6515,100.0%
mitchell_c=26.alb,21,26,6,168,169.4,0.6316,100.0%
roszieg_c=14.alb,25,14,13,207,207.0,0.6765,100.0%
roszieg_c=16.alb,25,16,11,207,208.4,0.9437,100.0%
roszieg_c=16_1.alb,25,16,8,256,278.4,0.9483,100.0%
roszieg_c=25.alb,25,25,6,214,226.6,1.2743,100.0%
roszieg_c=25_1.alb,25,25,7,207,209.8,1.2551,100.0%
roszieg_c=32.alb,25,32,5,207,221.0,1.3986,100.0%
roszieg_c=32_1.alb,25,32,5,200,226.6,1.3515,100.0%
roszieg_c=32_2.alb,25,32,4,221,257.4,1.3403,100.0%
sawyer30_c=25.alb,30,25,19,240,247.0,1.1508,100.0%
sawyer30_c=25_1.alb,30,25,19,240,244.2,1.1574,100.0%
Sawyer30_c=33.alb,30,33,11,268,296.0,1.918,100.0%
Sawyer30_c=33_1.alb,30,33,14,240,241.4,1.7015,100.0%
sawyer30_c=41.alb,30,41,11,240,240.0,2.211,100.0%
sawyer30_c=41_1.alb,30,41,11,240,241.4,2.2692,100.0%
sawyer30_c=41_2.alb,30,41,9,240,258.2,2.2556,100.0%
