Instance,Tasks,CycleTime,Z1_Best,Z2_Best,Z2_Avg,Time_Avg,Feasibility_Rate
Arc111_c=17067.alb,111,17067,11,895,300895.0,12.649,20.0%
Arc111_c=6267.alb,111,6267,33,895,20899.2,14.4681,80.0%
Arc111_c=9400.alb,111,9400,21,888,893.6,12.4811,100.0%
Arc83_c=5408.alb,83,5408,17,664,40708.8,11.7702,80.0%
Arc83_c=5824.alb,83,5824,16,664,260685.0,11.8327,40.0%
Arc83_c=5824_1.alb,83,5824,17,664,669.6,11.5634,100.0%
Arc83_c=7571.alb,83,7571,18,664,20675.2,11.7255,80.0%
arc83_c=8412.alb,83,8412,11,664,100671.0,11.775,60.0%
arc83_c=8898.alb,83,8898,11,664,40676.6,11.7691,60.0%
barthol2_c=106.alb,148,106,54,1184,1192.4,15.2639,100.0%
barthol2_c=125.alb,148,125,46,1184,1186.8,15.6929,100.0%
barthol2_c=125_1.alb,148,125,45,101184,141191.0,22.3999,0.0%
barthol2_c=93.alb,148,93,62,1198,21199.4,36.1426,80.0%
barthold_c=626.alb,148,626,11,601205,1421192.4,16.1688,0.0%
hahn_c=2338.alb,53,2338,7,459,485.6,12.6755,100.0%
lutz2_c=12.alb,89,12,59,719,727.4,12.2992,100.0%
lutz2_c=13.alb,89,13,56,733,20742.8,12.1746,80.0%
lutz2_c=18.alb,89,18,38,726,737.2,11.8851,100.0%
lutz3_c=127.alb,89,127,17,712,60752.6,11.6409,60.0%
lutz3_c=127_1.alb,89,127,16,719,20747.0,11.7153,80.0%
lutz3_c=75.alb,89,75,28,600789,780779.2,11.9589,0.0%
mukherje_c=192.alb,94,192,28,766,773.0,13.5563,100.0%
mukherje_c=222.alb,94,222,25,752,768.8,13.0696,100.0%
mukherje_c=248.alb,94,248,22,759,770.2,12.8384,100.0%
mukherje_c=248_1.alb,94,248,22,752,766.0,13.139,100.0%
mukherje_c=301.alb,94,301,18,752,752.0,11.3993,100.0%
mukherje_c=301_1.alb,94,301,18,752,140757.6,16.966,60.0%
mukherje_c=351.alb,94,351,15,700766,1160768.8,20.4942,0.0%
scholl_c=1548.alb,297,1548,57,2383,22398.4,52.0473,80.0%
scholl_c=1659.alb,297,1659,54,2376,2387.2,32.7624,100.0%
scholl_c=1742.alb,297,1742,52,2376,2388.6,27.6053,100.0%
scholl_c=2177.alb,297,2177,40,2383,2392.8,27.0513,100.0%
scholl_c=2322.alb,297,2322,36,302418,462419.4,64.3171,0.0%
Tonge70_c=176.alb,70,176,26,567,20574.0,10.1754,80.0%
Tonge70_c=251.alb,70,251,19,560,40572.6,9.4556,80.0%
Tonge70_c=293.alb,70,293,15,574,40578.2,10.2793,60.0%
Tonge70_c=293_1.alb,70,293,15,567,40568.4,10.2137,60.0%
warnecke_c=104.alb,58,104,20,471,475.2,10.0432,100.0%
warnecke_c=56.alb,58,56,38,464,473.8,11.337,100.0%
warnecke_c=58.alb,58,58,37,464,20466.8,10.2961,80.0%
warnecke_c=78.alb,58,78,27,471,20479.4,9.1286,80.0%
warnecke_c=86.alb,58,86,24,478,485.0,9.7376,100.0%
warnecke_c=97.alb,58,97,21,492,100485.0,11.4462,20.0%
warnecke_c=97_1.alb,58,97,19,478,60531.2,10.5046,60.0%
wee-mag_c=29.alb,75,29,67,600,604.2,13.1814,100.0%
wee-mag_c=36.alb,75,36,63,600,602.8,10.8813,100.0%
wee-mag_c=36_1.alb,75,36,63,607,607.0,10.2255,100.0%
wee-mag_c=40.alb,75,40,61,600,604.2,11.8043,100.0%
wee-mag_c=41.alb,75,41,60,600,605.6,12.6428,100.0%
wee-mag_c=52.alb,75,52,35,740,748.4,11.8101,100.0%
