Instance,Solution_ID,Z1_Pareto,Z2_Pareto,Time_Sec
bowman8_c=20.alb,1,5,71,0.5111
bowman8_c=20.alb,2,6,64,0.5111
jackson_c=10.alb,1,6,102,0.6846
jackson_c=10.alb,2,7,95,0.6846
jackson_c=10_1.alb,1,6,102,0.5822
jackson_c=10_1.alb,2,8,88,0.5822
jackson_c=10_1.alb,3,7,95,0.5822
jackson_c=10_2.alb,1,6,102,0.5665
jackson_c=10_2.alb,2,7,95,0.5665
jackson_c=10_3.alb,1,6,102,0.6267
jackson_c=10_3.alb,2,7,95,0.6267
jackson_c=10_4.alb,1,6,102,0.5821
jackson_c=10_4.alb,2,7,95,0.5821
jackson_c=13.alb,1,5,88,0.6286
jackson_c=13_1.alb,1,5,95,0.6064
jackson_c=13_1.alb,2,6,88,0.6064
jackson_c=13_2.alb,1,6,88,0.6147
jackson_c=13_2.alb,2,5,102,0.6147
jackson_c=13_3.alb,1,5,88,0.6098
jackson_c=14.alb,1,4,109,0.5607
jackson_c=14.alb,2,5,88,0.5607
jackson_c=7.alb,1,9,95,0.6853
jackson_c=7.alb,2,8,102,0.6853
jackson_c=9.alb,1,8,88,0.5846
jackson_c=9.alb,2,7,102,0.5846
jackson_c=9_1.alb,1,8,88,0.6121
jackson_c=9_1.alb,2,7,109,0.6121
jackson_c=9_2.alb,1,8,88,0.5771
jackson_c=9_2.alb,2,7,109,0.5771
jaeschke_c=10.alb,1,5,79,0.5197
jaeschke_c=10.alb,2,4,100100,0.5197
jaeschke_c=10_1.alb,1,4,100,0.556
jaeschke_c=10_1.alb,2,5,79,0.556
jaeschke_c=18.alb,1,3,72,0.5118
jaeschke_c=18_1.alb,1,3,72,0.5082
jaeschke_c=18_2.alb,1,3,72,0.5036
jaeschke_c=18_3.alb,1,3,72,0.4986
jaeschke_c=6.alb,1,9,72,0.5198
jaeschke_c=6.alb,2,8,79,0.5198
jaeschke_c=6_1.alb,1,9,72,0.5269
jaeschke_c=6_1.alb,2,8,79,0.5269
jaeschke_c=7.alb,1,8,72,0.5133
jaeschke_c=7_1.alb,1,8,72,0.5101
jaeschke_c=7_2.alb,1,8,72,0.555
jaeschke_c=7_3.alb,1,8,72,0.5346
jaeschke_c=7_4.alb,1,8,72,0.569
jaeschke_c=8.alb,1,7,100079,0.5543
jaeschke_c=8_1.alb,1,7,79,0.5222
mansoor_c=48.alb,1,5,88,0.6326
mansoor_c=48.alb,2,4,100109,0.6326
mansoor_c=62.alb,1,3,116,0.6486
mansoor_c=62.alb,2,4,95,0.6486
mansoor_c=62_1.alb,1,4,88,0.5791
mansoor_c=62_2.alb,1,4,95,0.6132
mansoor_c=94.alb,1,3,88,0.5662
mansoor_c=94_1.alb,1,3,88,0.5605
mansoor_c=94_2.alb,1,3,88,0.5789
mertens_c=10.alb,1,3,100077,0.4441
mertens_c=10.alb,2,5,56,0.4441
mertens_c=10.alb,3,4,63,0.4441
mertens_c=15.alb,1,3,56,0.4486
mertens_c=18.alb,1,2,63,0.4345
mertens_c=6.alb,1,6,56,0.4715
mertens_c=6_1.alb,1,6,56,0.4481
mertens_c=6_2.alb,1,6,56,0.443
mertens_c=6_3.alb,1,6,56,0.4441
mertens_c=7.alb,1,6,56,0.4645
mertens_c=7_1.alb,1,6,63,0.4555
mertens_c=7_2.alb,1,6,56,0.4651
mertens_c=7_3.alb,1,6,56,0.4405
mertens_c=7_4.alb,1,6,56,0.4421
mertens_c=8.alb,1,5,63,0.4415
mertens_c=8.alb,2,6,56,0.4415
