Instance,Solution_ID,Z1_Pareto,Z2_Pareto,Time_Sec
buxey_c=36.alb,1,11,260,1.9258
buxey_c=36.alb,2,12,246,1.9258
buxey_c=36.alb,3,13,232,1.9258
gunther_c=44.alb,1,14,294,1.3543
gunther_c=44.alb,2,16,280,1.3543
gunther_c=44.alb,3,15,287,1.3543
gunther_c=44.alb,4,13,308,1.3543
gunther_c=49.alb,1,12,315,1.3341
gunther_c=49.alb,2,15,280,1.3341
gunther_c=49.alb,3,14,287,1.3341
gunther_c=49.alb,4,13,294,1.3341
gunther_c=54.alb,1,13,280,1.9053
gunther_c=54.alb,2,12,287,1.9053
gunther_c=54.alb,3,11,308,1.9053
gunther_c=69.alb,1,10,280,1.29
gunther_c=69.alb,2,9,294,1.29
gunther_c=69_1.alb,1,10,280,1.7975
gunther_c=69_1.alb,2,9,294,1.7975
gunther_c=69_2.alb,1,10,280,1.8463
gunther_c=69_2.alb,2,9,294,1.8463
gunther_c=69_3.alb,1,10,100280,2.5063
gunther_c=69_3.alb,2,9,100294,2.5063
heskia_c=138.alb,1,8,259,1.0471
heskia_c=138.alb,2,10,224,1.0471
heskia_c=138.alb,3,9,238,1.0471
heskia_c=216.alb,1,6,224,1.3705
heskia_c=256.alb,1,5,224,1.0342
heskia_c=342.alb,1,4,231,1.3789
kilbrid_c=110.alb,1,6,374,1.5698
kilbrid_c=110.alb,2,7,360,1.5698
kilbrid_c=110_1.alb,1,6,200374,3.2759
kilbrid_c=110_1.alb,2,7,100360,3.2759
kilbrid_c=138.alb,1,5,360,1.5572
kilbrid_c=184.alb,1,4,100360,1.5635
kilbrid_c=56.alb,1,12,381,2.8293
kilbrid_c=56.alb,2,13,360,2.8293
kilbrid_c=57.alb,1,12,367,1.6112
kilbrid_c=57.alb,2,11,423,1.6112
kilbrid_c=57.alb,3,13,360,1.6112
kilbrid_c=62.alb,1,12,360,1.6156
kilbrid_c=62.alb,2,11,367,1.6156
kilbrid_c=62_1.alb,1,11,374,1.6259
kilbrid_c=62_1.alb,2,12,360,1.6259
kilbrid_c=92.alb,1,8,367,3.5461
lutz1_c=1414.alb,1,13,270,2.2597
lutz1_c=1414.alb,2,14,256,2.2597
lutz1_c=1414.alb,3,12,291,2.2597
lutz1_c=1414_1.alb,1,13,270,1.2314
lutz1_c=1414_1.alb,2,14,256,1.2314
lutz1_c=1414_1.alb,3,12,291,1.2314
lutz1_c=1414_2.alb,1,14,263,1.6085
lutz1_c=1414_2.alb,2,13,270,1.6085
lutz1_c=1414_2.alb,3,12,291,1.6085
lutz1_c=1572.alb,1,12,263,1.2403
lutz1_c=1572.alb,2,11,270,1.2403
lutz1_c=1572.alb,3,13,256,1.2403
lutz1_c=1572_1.alb,1,12,263,1.2562
lutz1_c=1572_1.alb,2,11,270,1.2562
lutz1_c=1572_1.alb,3,13,256,1.2562
lutz1_c=2357.alb,1,8,256,1.5215
lutz1_c=2357.alb,2,7,284,1.5215
lutz1_c=2357_1.alb,1,8,256,1.5907
lutz1_c=2357_1.alb,2,7,284,1.5907
lutz1_c=2357_2.alb,1,7,100277,1.6013
lutz1_c=2357_2.alb,2,8,263,1.6013
lutz1_c=2357_3.alb,1,8,256,1.2262
lutz1_c=2357_3.alb,2,7,100284,1.2262
mitchell_c=14.alb,1,10,182,0.8986
mitchell_c=14.alb,2,9,100189,0.8986
mitchell_c=14.alb,3,11,175,0.8986
mitchell_c=15.alb,1,10,175,1.0281
mitchell_c=15.alb,2,9,189,1.0281
mitchell_c=15_1.alb,1,10,175,1.0088
mitchell_c=15_1.alb,2,9,189,1.0088
mitchell_c=21.alb,1,7,168,0.9307
mitchell_c=21.alb,2,6,196,0.9307
mitchell_c=26.alb,1,6,168,0.9473
mitchell_c=26.alb,2,5,182,0.9473
roszieg_c=14.alb,1,12,207,1.0146
roszieg_c=16.alb,1,10,221,0.994
roszieg_c=16.alb,2,11,207,0.994
roszieg_c=16_1.alb,1,10,100221,1.488
roszieg_c=16_1.alb,2,11,100207,1.488
roszieg_c=25.alb,1,7,214,1.3565
roszieg_c=25.alb,2,6,235,1.3565
roszieg_c=25_1.alb,1,7,207,0.9756
roszieg_c=25_1.alb,2,6,228,0.9756
roszieg_c=32.alb,1,6,207,1.1982
roszieg_c=32.alb,2,5,214,1.1982
roszieg_c=32_1.alb,1,5,214,1.0663
roszieg_c=32_1.alb,2,6,200,1.0663
roszieg_c=32_2.alb,1,5,207,1.3015
sawyer30_c=25.alb,1,19,240,1.2034
sawyer30_c=25.alb,2,15,282,1.2034
sawyer30_c=25.alb,3,18,247,1.2034
sawyer30_c=25.alb,4,16,268,1.2034
sawyer30_c=25.alb,5,17,254,1.2034
sawyer30_c=25_1.alb,1,19,240,1.694
sawyer30_c=25_1.alb,2,17,254,1.694
sawyer30_c=25_1.alb,3,18,247,1.694
sawyer30_c=25_1.alb,4,16,268,1.694
sawyer30_c=25_1.alb,5,15,282,1.694
sawyer30_c=25_1.alb,6,14,310,1.694
Sawyer30_c=33.alb,1,14,100240,2.1082
Sawyer30_c=33.alb,2,12,100268,2.1082
Sawyer30_c=33.alb,3,13,100247,2.1082
Sawyer30_c=33_1.alb,1,13,240,1.1534
Sawyer30_c=33_1.alb,2,12,268,1.1534
sawyer30_c=41.alb,1,11,240,1.1226
sawyer30_c=41.alb,2,10,247,1.1226
sawyer30_c=41_1.alb,1,11,240,1.4607
sawyer30_c=41_1.alb,2,10,254,1.4607
sawyer30_c=41_2.alb,1,11,240,1.8824
sawyer30_c=41_2.alb,2,10,254,1.8824
