Instance,Solution_ID,Z1_Pareto,Z2_Pareto,Time_Sec
Arc111_c=17067.alb,1,11,800895,14.0277
Arc111_c=17067.alb,2,12,300888,14.0277
Arc111_c=6267.alb,1,30,930,22.0078
Arc111_c=6267.alb,2,29,965,22.0078
Arc111_c=6267.alb,3,33,909,22.0078
Arc111_c=6267.alb,4,28,100986,22.0078
Arc111_c=6267.alb,5,32,916,22.0078
Arc111_c=6267.alb,6,31,923,22.0078
Arc111_c=9400.alb,1,22,888,4.112
Arc111_c=9400.alb,2,20,909,4.112
Arc111_c=9400.alb,3,21,895,4.112
Arc111_c=9400.alb,4,19,937,4.112
Arc83_c=5408.alb,1,17,100692,9.5471
Arc83_c=5824.alb,1,17,400671,15.804
Arc83_c=5824.alb,2,16,600692,15.804
Arc83_c=5824_1.alb,1,16,685,3.0111
Arc83_c=5824_1.alb,2,17,664,3.0111
Arc83_c=7571.alb,1,13,800678,13.3525
Arc83_c=7571.alb,2,12,900685,13.3525
arc83_c=8412.alb,1,11,400685,8.0605
arc83_c=8412.alb,2,12,400664,8.0605
arc83_c=8898.alb,1,11,664,2.9651
arc83_c=8898.alb,2,10,100699,2.9651
barthol2_c=106.alb,1,50,1275,6.3399
barthol2_c=106.alb,2,49,1296,6.3399
barthol2_c=106.alb,3,52,1205,6.3399
barthol2_c=106.alb,4,54,1191,6.3399
barthol2_c=106.alb,5,51,1233,6.3399
barthol2_c=106.alb,6,53,1198,6.3399
barthol2_c=125.alb,1,47,1184,6.2668
barthol2_c=125.alb,2,45,1205,6.2668
barthol2_c=125.alb,3,44,1219,6.2668
barthol2_c=125.alb,4,43,1254,6.2668
barthol2_c=125.alb,5,42,1338,6.2668
barthol2_c=125.alb,6,46,1191,6.2668
barthol2_c=125_1.alb,1,44,101240,48.3745
barthol2_c=125_1.alb,2,43,101275,48.3745
barthol2_c=125_1.alb,3,42,801345,48.3745
barthol2_c=125_1.alb,4,46,101191,48.3745
barthol2_c=125_1.alb,5,45,101198,48.3745
barthol2_c=93.alb,1,56,1001352,103.7888
barthol2_c=93.alb,2,60,1240,103.7888
barthol2_c=93.alb,3,58,1268,103.7888
barthol2_c=93.alb,4,59,1261,103.7888
barthol2_c=93.alb,5,61,1212,103.7888
barthol2_c=93.alb,6,57,101282,103.7888
barthold_c=626.alb,1,11,801205,28.1456
hahn_c=2338.alb,1,7,200445,3.0858
hahn_c=2338.alb,2,8,200431,3.0858
lutz2_c=12.alb,1,57,754,34.7161
lutz2_c=12.alb,2,54,789,34.7161
lutz2_c=12.alb,3,59,733,34.7161
lutz2_c=12.alb,4,56,761,34.7161
lutz2_c=12.alb,5,60,726,34.7161
lutz2_c=12.alb,6,58,740,34.7161
lutz2_c=12.alb,7,55,775,34.7161
lutz2_c=13.alb,1,57,733,33.5074
lutz2_c=13.alb,2,53,761,33.5074
lutz2_c=13.alb,3,52,782,33.5074
lutz2_c=13.alb,4,56,740,33.5074
lutz2_c=13.alb,5,54,754,33.5074
lutz2_c=13.alb,6,58,726,33.5074
lutz2_c=13.alb,7,55,747,33.5074
lutz2_c=18.alb,1,35,768,3.4699
lutz2_c=18.alb,2,34,803,3.4699
lutz2_c=18.alb,3,37,740,3.4699
lutz2_c=18.alb,4,36,747,3.4699
lutz3_c=127.alb,1,17,100719,6.1541
lutz3_c=127_1.alb,1,16,100768,10.3816
lutz3_c=127_1.alb,2,17,100719,10.3816
lutz3_c=75.alb,1,27,800810,39.4962
lutz3_c=75.alb,2,29,300761,39.4962
lutz3_c=75.alb,3,28,500775,39.4962
lutz3_c=75.alb,4,30,300754,39.4962
mukherje_c=192.alb,1,28,759,14.4154
mukherje_c=192.alb,2,26,200815,14.4154
mukherje_c=192.alb,3,27,787,14.4154
mukherje_c=222.alb,1,24,794,13.348
mukherje_c=222.alb,2,26,766,13.348
mukherje_c=222.alb,3,23,822,13.348
mukherje_c=222.alb,4,25,773,13.348
mukherje_c=248.alb,1,22,773,13.2107
mukherje_c=248.alb,2,21,794,13.2107
mukherje_c=248.alb,3,23,759,13.2107
mukherje_c=248_1.alb,1,22,759,12.8823
mukherje_c=248_1.alb,2,20,500843,12.8823
mukherje_c=248_1.alb,3,21,794,12.8823
mukherje_c=301.alb,1,18,752,3.4358
mukherje_c=301.alb,2,17,794,3.4358
mukherje_c=301_1.alb,1,19,100752,21.1475
mukherje_c=301_1.alb,2,18,100759,21.1475
mukherje_c=301_1.alb,3,17,700822,21.1475
mukherje_c=351.alb,1,15,500794,36.785
mukherje_c=351.alb,2,16,200773,36.785
scholl_c=1548.alb,1,58,2390,16.1493
scholl_c=1548.alb,2,57,2418,16.1493
scholl_c=1548.alb,3,55,2488,16.1493
scholl_c=1548.alb,4,59,2376,16.1493
scholl_c=1548.alb,5,56,2460,16.1493
scholl_c=1659.alb,1,53,2418,16.0653
scholl_c=1659.alb,2,55,2390,16.0653
scholl_c=1659.alb,3,52,2446,16.0653
scholl_c=1659.alb,4,51,2467,16.0653
scholl_c=1659.alb,5,54,2397,16.0653
scholl_c=1742.alb,1,52,2383,15.7687
scholl_c=1742.alb,2,51,2390,15.7687
scholl_c=1742.alb,3,50,2432,15.7687
scholl_c=1742.alb,4,49,2481,15.7687
scholl_c=2177.alb,1,39,2495,14.4482
scholl_c=2177.alb,2,40,2439,14.4482
scholl_c=2177.alb,3,41,2397,14.4482
scholl_c=2322.alb,1,36,802474,119.895
scholl_c=2322.alb,2,37,102446,119.895
Tonge70_c=176.alb,1,26,574,14.706
Tonge70_c=176.alb,2,24,100623,14.706
Tonge70_c=176.alb,3,27,567,14.706
Tonge70_c=176.alb,4,25,588,14.706
Tonge70_c=251.alb,1,18,560,7.4774
Tonge70_c=251.alb,2,17,200616,7.4774
Tonge70_c=293.alb,1,15,588,12.0065
Tonge70_c=293.alb,2,14,700623,12.0065
Tonge70_c=293.alb,3,16,560,12.0065
Tonge70_c=293_1.alb,1,17,560,7.5756
Tonge70_c=293_1.alb,2,16,567,7.5756
Tonge70_c=293_1.alb,3,15,200588,7.5756
warnecke_c=104.alb,1,19,485,2.4173
warnecke_c=104.alb,2,21,464,2.4173
warnecke_c=104.alb,3,20,471,2.4173
warnecke_c=104.alb,4,18,527,2.4173
warnecke_c=56.alb,1,35,492,7.8269
warnecke_c=56.alb,2,37,471,7.8269
warnecke_c=56.alb,3,34,513,7.8269
warnecke_c=56.alb,4,36,478,7.8269
warnecke_c=58.alb,1,35,492,13.4404
warnecke_c=58.alb,2,33,513,13.4404
warnecke_c=58.alb,3,37,464,13.4404
warnecke_c=58.alb,4,36,471,13.4404
warnecke_c=58.alb,5,34,506,13.4404
warnecke_c=78.alb,1,28,471,7.7307
warnecke_c=78.alb,2,25,506,7.7307
warnecke_c=78.alb,3,27,478,7.7307
warnecke_c=78.alb,4,29,464,7.7307
warnecke_c=78.alb,5,24,541,7.7307
warnecke_c=78.alb,6,26,485,7.7307
warnecke_c=86.alb,1,24,485,12.9106
warnecke_c=86.alb,2,23,506,12.9106
warnecke_c=86.alb,3,25,478,12.9106
warnecke_c=97.alb,1,21,100478,12.9106
warnecke_c=97.alb,2,20,100520,12.9106
warnecke_c=97.alb,3,22,100464,12.9106
warnecke_c=97_1.alb,1,20,499,7.1671
warnecke_c=97_1.alb,2,19,200534,7.1671
warnecke_c=97_1.alb,3,21,478,7.1671
wee-mag_c=29.alb,1,65,614,30.887
wee-mag_c=29.alb,2,64,635,30.887
wee-mag_c=29.alb,3,63,663,30.887
wee-mag_c=29.alb,4,66,600,30.887
wee-mag_c=36.alb,1,60,635,3.3547
wee-mag_c=36.alb,2,63,607,3.3547
wee-mag_c=36.alb,3,62,614,3.3547
wee-mag_c=36.alb,4,61,621,3.3547
wee-mag_c=36.alb,5,64,600,3.3547
wee-mag_c=36_1.alb,1,61,628,3.6523
wee-mag_c=36_1.alb,2,60,635,3.6523
wee-mag_c=36_1.alb,3,63,607,3.6523
wee-mag_c=36_1.alb,4,62,614,3.6523
wee-mag_c=36_1.alb,5,64,600,3.6523
wee-mag_c=40.alb,1,61,607,29.7876
wee-mag_c=40.alb,2,60,614,29.7876
wee-mag_c=40.alb,3,62,600,29.7876
wee-mag_c=41.alb,1,60,607,50.894
wee-mag_c=41.alb,2,61,600,50.894
wee-mag_c=41.alb,3,59,621,50.894
wee-mag_c=52.alb,1,36,733,11.7707
wee-mag_c=52.alb,2,34,754,11.7707
wee-mag_c=52.alb,3,33,775,11.7707
wee-mag_c=52.alb,4,38,719,11.7707
wee-mag_c=52.alb,5,35,740,11.7707
