Instance,Solution_ID,Tasks,Z1_Pareto,Z2_Pareto,Time_Sec
bowman8_c=20.alb,1,8,5,71,0.008
bowman8_c=20.alb,2,8,6,64,0.008
jackson_c=10.alb,1,11,6,102,0.011
jackson_c=10.alb,2,11,7,95,0.011
jackson_c=10_1.alb,1,11,6,102,0.011
jackson_c=10_1.alb,2,11,7,95,0.011
jackson_c=10_2.alb,1,11,7,95,0.011
jackson_c=10_2.alb,2,11,6,102,0.011
jackson_c=10_3.alb,1,11,7,95,0.013
jackson_c=10_3.alb,2,11,6,102,0.013
jackson_c=10_4.alb,1,11,7,95,0.009
jackson_c=10_4.alb,2,11,6,102,0.009
jackson_c=13.alb,1,11,5,95,0.0145
jackson_c=13.alb,2,11,6,88,0.0145
jackson_c=13_1.alb,1,11,5,95,0.011
jackson_c=13_2.alb,1,11,6,88,0.012
jackson_c=13_2.alb,2,11,5,102,0.012
jackson_c=13_3.alb,1,11,5,95,0.013
jackson_c=13_3.alb,2,11,6,88,0.013
jackson_c=14.alb,1,11,4,102,0.011
jackson_c=14.alb,2,11,5,88,0.011
jackson_c=7.alb,1,11,9,95,0.014
jackson_c=7.alb,2,11,8,102,0.014
jackson_c=9.alb,1,11,8,88,0.0101
jackson_c=9.alb,2,11,7,109,0.0101
jackson_c=9_1.alb,1,11,8,88,0.011
jackson_c=9_1.alb,2,11,7,102,0.011
jackson_c=9_2.alb,1,11,7,109,0.0105
jackson_c=9_2.alb,2,11,8,88,0.0105
jaeschke_c=10.alb,1,9,5,79,0.009
jaeschke_c=10.alb,2,9,4,100100,0.009
jaeschke_c=10_1.alb,1,9,5,79,0.01
jaeschke_c=10_1.alb,2,9,4,100,0.01
jaeschke_c=18.alb,1,9,3,72,0.0065
jaeschke_c=18_1.alb,1,9,3,72,0.006
jaeschke_c=18_2.alb,1,9,3,72,0.006
jaeschke_c=18_3.alb,1,9,3,72,0.007
jaeschke_c=6.alb,1,9,8,79,0.007
jaeschke_c=6.alb,2,9,9,72,0.007
jaeschke_c=6_1.alb,1,9,8,79,0.006
jaeschke_c=6_1.alb,2,9,9,72,0.006
jaeschke_c=7.alb,1,9,8,72,0.007
jaeschke_c=7_1.alb,1,9,8,72,0.006
jaeschke_c=7_2.alb,1,9,8,72,0.008
jaeschke_c=7_3.alb,1,9,8,72,0.007
jaeschke_c=7_4.alb,1,9,8,72,0.0074
jaeschke_c=8.alb,1,9,7,100079,0.007
jaeschke_c=8_1.alb,1,9,7,79,0.007
mansoor_c=48.alb,1,11,5,88,0.016
mansoor_c=48.alb,2,11,4,100109,0.016
mansoor_c=62.alb,1,11,4,95,0.023
mansoor_c=62.alb,2,11,3,116,0.023
mansoor_c=62_1.alb,1,11,4,88,0.009
mansoor_c=62_2.alb,1,11,3,200116,0.014
mansoor_c=62_2.alb,2,11,4,102,0.014
mansoor_c=94.alb,1,11,3,88,0.0095
mansoor_c=94_1.alb,1,11,3,88,0.011
mansoor_c=94_2.alb,1,11,3,88,0.009
mertens_c=10.alb,1,7,5,56,0.005
mertens_c=10.alb,2,7,3,100077,0.005
mertens_c=10.alb,3,7,4,63,0.005
mertens_c=15.alb,1,7,3,56,0.004
mertens_c=18.alb,1,7,2,63,0.004
mertens_c=6.alb,1,7,6,56,0.004
mertens_c=6_1.alb,1,7,6,56,0.005
mertens_c=6_2.alb,1,7,6,56,0.005
mertens_c=6_3.alb,1,7,6,56,0.004
mertens_c=7.alb,1,7,6,56,0.005
mertens_c=7_1.alb,1,7,6,63,0.005
mertens_c=7_2.alb,1,7,6,56,0.005
mertens_c=7_3.alb,1,7,6,56,0.005
mertens_c=7_4.alb,1,7,6,56,0.005
mertens_c=8.alb,1,7,5,63,0.004
mertens_c=8.alb,2,7,6,56,0.004
