Instance,Solution_ID,Tasks,Z1_Pareto,Z2_Pareto,Time_Sec
Arc111_c=17067.alb,1,111,12,200902,1.3067
Arc111_c=17067.alb,2,111,11,500902,1.3067
Arc111_c=6267.alb,1,111,28,100972,2.0243
Arc111_c=6267.alb,2,111,30,937,2.0243
Arc111_c=6267.alb,3,111,29,951,2.0243
Arc111_c=6267.alb,4,111,31,916,2.0243
Arc111_c=6267.alb,5,111,32,909,2.0243
Arc111_c=6267.alb,6,111,33,902,2.0243
Arc111_c=9400.alb,1,111,21,895,0.4926
Arc111_c=9400.alb,2,111,20,909,0.4926
Arc111_c=9400.alb,3,111,22,888,0.4926
Arc83_c=5408.alb,1,83,17,500706,0.162
Arc83_c=5824.alb,1,83,17,600678,0.5056
Arc83_c=5824.alb,2,83,16,800692,0.5056
Arc83_c=5824_1.alb,1,83,16,678,0.194
Arc83_c=5824_1.alb,2,83,17,664,0.194
Arc83_c=7571.alb,1,83,13,1000692,0.1595
arc83_c=8412.alb,1,83,11,700678,0.1095
arc83_c=8898.alb,1,83,10,100706,0.1765
arc83_c=8898.alb,2,83,11,671,0.1765
barthol2_c=106.alb,1,148,52,1219,1.1683
barthol2_c=106.alb,2,148,51,1233,1.1683
barthol2_c=106.alb,3,148,49,1303,1.1683
barthol2_c=106.alb,4,148,53,1212,1.1683
barthol2_c=106.alb,5,148,50,1261,1.1683
barthol2_c=125.alb,1,148,42,1261,1.6147
barthol2_c=125.alb,2,148,46,1184,1.6147
barthol2_c=125.alb,3,148,45,1191,1.6147
barthol2_c=125.alb,4,148,44,1205,1.6147
barthol2_c=125.alb,5,148,43,1226,1.6147
barthol2_c=125_1.alb,1,148,45,101226,6.6486
barthol2_c=125_1.alb,2,148,46,101205,6.6486
barthol2_c=125_1.alb,3,148,43,101261,6.6486
barthol2_c=125_1.alb,4,148,44,101233,6.6486
barthol2_c=125_1.alb,5,148,42,101282,6.6486
barthol2_c=93.alb,1,148,58,1282,25.7049
barthol2_c=93.alb,2,148,56,101317,25.7049
barthol2_c=93.alb,3,148,54,701373,25.7049
barthol2_c=93.alb,4,148,57,1310,25.7049
barthol2_c=93.alb,5,148,55,101345,25.7049
barthol2_c=93.alb,6,148,53,701387,25.7049
barthol2_c=93.alb,7,148,59,1261,25.7049
barthol2_c=93.alb,8,148,60,1247,25.7049
barthold_c=626.alb,1,148,11,1901212,4.4788
hahn_c=2338.alb,1,53,8,200431,0.2764
hahn_c=2338.alb,2,53,7,200452,0.2764
lutz2_c=12.alb,1,89,56,782,2.0342
lutz2_c=12.alb,2,89,58,747,2.0342
lutz2_c=12.alb,3,89,57,768,2.0342
lutz2_c=12.alb,4,89,55,789,2.0342
lutz2_c=12.alb,5,89,54,803,2.0342
lutz2_c=13.alb,1,89,54,775,2.5086
lutz2_c=13.alb,2,89,52,789,2.5086
lutz2_c=13.alb,3,89,53,782,2.5086
lutz2_c=13.alb,4,89,55,768,2.5086
lutz2_c=18.alb,1,89,33,838,1.4926
lutz2_c=18.alb,2,89,35,789,1.4926
lutz2_c=18.alb,3,89,36,768,1.4926
lutz2_c=18.alb,4,89,34,810,1.4926
lutz2_c=18.alb,5,89,37,761,1.4926
lutz3_c=127.alb,1,89,16,100775,1.2294
lutz3_c=127.alb,2,89,17,100733,1.2294
lutz3_c=127.alb,3,89,18,100719,1.2294
lutz3_c=127_1.alb,1,89,17,100733,0.5805
lutz3_c=75.alb,1,89,27,900789,3.2054
lutz3_c=75.alb,2,89,28,400768,3.2054
mukherje_c=192.alb,1,94,26,300815,5.023
mukherje_c=192.alb,2,94,27,100794,5.023
mukherje_c=192.alb,3,94,28,100787,5.023
mukherje_c=222.alb,1,94,24,780,4.173
mukherje_c=222.alb,2,94,23,829,4.173
mukherje_c=248.alb,1,94,20,100829,2.4686
mukherje_c=248.alb,2,94,21,794,2.4686
mukherje_c=248.alb,3,94,22,780,2.4686
mukherje_c=248_1.alb,1,94,21,801,1.844
mukherje_c=301.alb,1,94,18,759,0.493
mukherje_c=301.alb,2,94,17,794,0.493
mukherje_c=301_1.alb,1,94,18,200766,5.4197
mukherje_c=301_1.alb,2,94,17,400815,5.4197
mukherje_c=351.alb,1,94,16,2200780,7.9651
mukherje_c=351.alb,2,94,15,2500794,7.9651
scholl_c=1548.alb,1,297,57,2425,8.9595
scholl_c=1548.alb,2,297,58,2411,8.9595
scholl_c=1548.alb,3,297,56,2432,8.9595
scholl_c=1659.alb,1,297,54,2418,10.4621
scholl_c=1659.alb,2,297,55,2411,10.4621
scholl_c=1659.alb,3,297,53,2439,10.4621
scholl_c=1659.alb,4,297,52,2474,10.4621
scholl_c=1742.alb,1,297,51,2432,7.4283
scholl_c=1742.alb,2,297,48,2544,7.4283
scholl_c=1742.alb,3,297,49,2481,7.4283
scholl_c=1742.alb,4,297,50,2460,7.4283
scholl_c=2177.alb,1,297,40,2439,3.0623
scholl_c=2322.alb,1,297,38,702411,11.1989
scholl_c=2322.alb,2,297,37,702481,11.1989
Tonge70_c=176.alb,1,70,24,100623,2.4714
Tonge70_c=176.alb,2,70,26,588,2.4714
Tonge70_c=176.alb,3,70,27,574,2.4714
Tonge70_c=176.alb,4,70,25,602,2.4714
Tonge70_c=251.alb,1,70,19,574,1.3325
Tonge70_c=251.alb,2,70,17,609,1.3325
Tonge70_c=251.alb,3,70,18,581,1.3325
Tonge70_c=293.alb,1,70,15,100602,2.4761
Tonge70_c=293.alb,2,70,16,100581,2.4761
Tonge70_c=293.alb,3,70,14,100616,2.4761
Tonge70_c=293_1.alb,1,70,15,100581,0.7243
Tonge70_c=293_1.alb,2,70,16,100567,0.7243
warnecke_c=104.alb,1,58,19,492,0.4201
warnecke_c=104.alb,2,58,20,471,0.4201
warnecke_c=104.alb,3,58,18,527,0.4201
warnecke_c=56.alb,1,58,35,499,0.6055
warnecke_c=56.alb,2,58,36,485,0.6055
warnecke_c=56.alb,3,58,37,478,0.6055
warnecke_c=56.alb,4,58,38,471,0.6055
warnecke_c=56.alb,5,58,34,520,0.6055
warnecke_c=56.alb,6,58,33,541,0.6055
warnecke_c=58.alb,1,58,36,485,1.8461
warnecke_c=58.alb,2,58,37,471,1.8461
warnecke_c=58.alb,3,58,38,464,1.8461
warnecke_c=58.alb,4,58,33,100527,1.8461
warnecke_c=58.alb,5,58,35,100485,1.8461
warnecke_c=58.alb,6,58,34,100506,1.8461
warnecke_c=78.alb,1,58,28,485,0.7437
warnecke_c=78.alb,2,58,24,541,0.7437
warnecke_c=78.alb,3,58,25,513,0.7437
warnecke_c=78.alb,4,58,26,499,0.7437
warnecke_c=78.alb,5,58,27,492,0.7437
warnecke_c=86.alb,1,58,23,506,0.7924
warnecke_c=86.alb,2,58,22,527,0.7924
warnecke_c=86.alb,3,58,24,485,0.7924
warnecke_c=97.alb,1,58,19,500548,1.325
warnecke_c=97.alb,2,58,20,513,1.325
warnecke_c=97.alb,3,58,21,485,1.325
