Instance,Solution_ID,Z1_Pareto,Z2_Pareto,Time_Sec
bowman8_c=20.alb,1,6,64,0.2967
bowman8_c=20.alb,2,5,71,0.2967
jackson_c=10.alb,1,7,95,0.3358
jackson_c=10.alb,2,6,102,0.3358
jackson_c=10_1.alb,1,8,88,0.2945
jackson_c=10_1.alb,2,6,102,0.2945
jackson_c=10_1.alb,3,7,95,0.2945
jackson_c=10_2.alb,1,8,88,0.298
jackson_c=10_2.alb,2,6,102,0.298
jackson_c=10_2.alb,3,7,95,0.298
jackson_c=10_3.alb,1,7,95,0.3141
jackson_c=10_3.alb,2,6,102,0.3141
jackson_c=10_4.alb,1,7,95,0.3076
jackson_c=10_4.alb,2,6,102,0.3076
jackson_c=13.alb,1,5,88,0.3331
jackson_c=13_1.alb,1,6,88,0.3143
jackson_c=13_1.alb,2,5,95,0.3143
jackson_c=13_2.alb,1,6,88,0.3083
jackson_c=13_2.alb,2,5,102,0.3083
jackson_c=13_3.alb,1,6,88,0.3101
jackson_c=13_3.alb,2,5,95,0.3101
jackson_c=14.alb,1,5,88,0.2979
jackson_c=14.alb,2,4,102,0.2979
jackson_c=7.alb,1,9,95,0.327
jackson_c=7.alb,2,8,102,0.327
jackson_c=9.alb,1,8,88,0.3021
jackson_c=9.alb,2,7,102,0.3021
jackson_c=9_1.alb,1,8,88,0.3204
jackson_c=9_1.alb,2,7,102,0.3204
jackson_c=9_2.alb,1,8,88,0.3069
jackson_c=9_2.alb,2,7,102,0.3069
jaeschke_c=10.alb,1,5,79,0.2891
jaeschke_c=10.alb,2,4,100100,0.2891
jaeschke_c=10_1.alb,1,5,79,0.3027
jaeschke_c=10_1.alb,2,4,100,0.3027
jaeschke_c=18.alb,1,3,72,0.2928
jaeschke_c=18_1.alb,1,3,72,0.3035
jaeschke_c=18_2.alb,1,3,72,0.2978
jaeschke_c=18_3.alb,1,3,72,0.2989
jaeschke_c=6.alb,1,9,72,0.303
jaeschke_c=6.alb,2,8,79,0.303
jaeschke_c=6_1.alb,1,9,72,0.2911
jaeschke_c=6_1.alb,2,8,79,0.2911
jaeschke_c=7.alb,1,8,72,0.2958
jaeschke_c=7_1.alb,1,8,72,0.3036
jaeschke_c=7_2.alb,1,8,72,0.3105
jaeschke_c=7_3.alb,1,8,72,0.3063
jaeschke_c=7_4.alb,1,8,72,0.3115
jaeschke_c=8.alb,1,7,100079,0.3196
jaeschke_c=8_1.alb,1,7,79,0.3026
mansoor_c=48.alb,1,5,88,0.3205
mansoor_c=48.alb,2,4,100109,0.3205
mansoor_c=62.alb,1,4,102,0.4064
mansoor_c=62_1.alb,1,4,88,0.3661
mansoor_c=62_2.alb,1,4,95,0.4126
mansoor_c=94.alb,1,3,88,0.3947
mansoor_c=94_1.alb,1,3,88,0.4023
mansoor_c=94_2.alb,1,3,88,0.3503
mertens_c=10.alb,1,5,56,0.273
mertens_c=10.alb,2,3,100077,0.273
mertens_c=10.alb,3,4,63,0.273
mertens_c=15.alb,1,3,56,0.3027
mertens_c=18.alb,1,2,63,0.3236
mertens_c=6.alb,1,6,56,0.3941
mertens_c=6_1.alb,1,6,56,0.3499
mertens_c=6_2.alb,1,6,56,0.3183
mertens_c=6_3.alb,1,6,56,0.3233
mertens_c=7.alb,1,6,56,0.3961
mertens_c=7_1.alb,1,6,63,0.344
mertens_c=7_2.alb,1,6,56,0.4254
mertens_c=7_3.alb,1,6,56,0.4455
mertens_c=7_4.alb,1,6,56,0.3538
mertens_c=8.alb,1,6,56,0.3846
mertens_c=8.alb,2,5,63,0.3846
