Instance,Solution_ID,Z1_Pareto,Z2_Pareto,Time_Sec
buxey_c=36.alb,1,13,232,0.6345
buxey_c=36.alb,2,11,267,0.6345
buxey_c=36.alb,3,12,246,0.6345
gunther_c=44.alb,1,16,280,0.537
gunther_c=44.alb,2,13,308,0.537
gunther_c=44.alb,3,14,294,0.537
gunther_c=44.alb,4,15,287,0.537
gunther_c=49.alb,1,15,280,0.4507
gunther_c=49.alb,2,12,315,0.4507
gunther_c=49.alb,3,13,294,0.4507
gunther_c=49.alb,4,14,287,0.4507
gunther_c=54.alb,1,13,280,0.6691
gunther_c=54.alb,2,11,301,0.6691
gunther_c=54.alb,3,12,287,0.6691
gunther_c=69.alb,1,10,280,0.4961
gunther_c=69.alb,2,9,294,0.4961
gunther_c=69_1.alb,1,10,280,0.6251
gunther_c=69_1.alb,2,9,287,0.6251
gunther_c=69_2.alb,1,10,280,0.7148
gunther_c=69_2.alb,2,9,287,0.7148
gunther_c=69_3.alb,1,10,100280,0.8451
gunther_c=69_3.alb,2,9,100294,0.8451
heskia_c=138.alb,1,10,224,0.4488
heskia_c=138.alb,2,8,259,0.4488
heskia_c=138.alb,3,9,238,0.4488
heskia_c=216.alb,1,7,224,0.5554
heskia_c=216.alb,2,6,231,0.5554
heskia_c=256.alb,1,6,224,0.5312
heskia_c=256.alb,2,5,231,0.5312
heskia_c=342.alb,1,4,238,0.8939
kilbrid_c=110.alb,1,7,360,0.9609
kilbrid_c=110.alb,2,6,374,0.9609
kilbrid_c=110_1.alb,1,7,200360,1.9753
kilbrid_c=110_1.alb,2,6,300395,1.9753
kilbrid_c=138.alb,1,5,360,0.871
kilbrid_c=184.alb,1,5,360,0.5927
kilbrid_c=184.alb,2,4,100360,0.5927
kilbrid_c=56.alb,1,13,360,0.9408
kilbrid_c=56.alb,2,12,374,0.9408
kilbrid_c=57.alb,1,13,360,0.6291
kilbrid_c=57.alb,2,12,367,0.6291
kilbrid_c=62.alb,1,12,360,0.6228
kilbrid_c=62.alb,2,11,374,0.6228
kilbrid_c=62_1.alb,1,12,360,0.6054
kilbrid_c=62_1.alb,2,11,374,0.6054
kilbrid_c=92.alb,1,8,100360,1.0941
kilbrid_c=92.alb,2,7,1100395,1.0941
lutz1_c=1414.alb,1,13,270,0.8626
lutz1_c=1414.alb,2,12,291,0.8626
lutz1_c=1414_1.alb,1,14,263,0.4847
lutz1_c=1414_1.alb,2,12,298,0.4847
lutz1_c=1414_1.alb,3,13,270,0.4847
lutz1_c=1414_2.alb,1,14,256,0.5478
lutz1_c=1414_2.alb,2,12,284,0.5478
lutz1_c=1414_2.alb,3,13,270,0.5478
lutz1_c=1572.alb,1,13,256,0.5065
lutz1_c=1572.alb,2,11,270,0.5065
lutz1_c=1572.alb,3,12,263,0.5065
lutz1_c=1572_1.alb,1,13,256,0.4696
lutz1_c=1572_1.alb,2,11,270,0.4696
lutz1_c=1572_1.alb,3,12,263,0.4696
lutz1_c=2357.alb,1,8,256,0.5868
lutz1_c=2357.alb,2,7,291,0.5868
lutz1_c=2357_1.alb,1,8,256,0.6417
lutz1_c=2357_1.alb,2,7,284,0.6417
lutz1_c=2357_2.alb,1,9,256,0.589
lutz1_c=2357_2.alb,2,7,100277,0.589
lutz1_c=2357_2.alb,3,8,270,0.589
lutz1_c=2357_3.alb,1,8,256,0.4873
lutz1_c=2357_3.alb,2,7,277,0.4873
mitchell_c=14.alb,1,11,175,0.3982
mitchell_c=14.alb,2,9,100189,0.3982
mitchell_c=14.alb,3,10,182,0.3982
mitchell_c=15.alb,1,10,175,0.4556
mitchell_c=15.alb,2,9,189,0.4556
mitchell_c=15_1.alb,1,10,175,0.4744
mitchell_c=21.alb,1,7,168,0.4286
mitchell_c=21.alb,2,6,196,0.4286
mitchell_c=26.alb,1,6,168,0.4331
mitchell_c=26.alb,2,5,182,0.4331
roszieg_c=14.alb,1,13,207,0.4087
roszieg_c=14.alb,2,11,228,0.4087
roszieg_c=14.alb,3,12,214,0.4087
roszieg_c=16.alb,1,11,207,0.4413
roszieg_c=16.alb,2,10,228,0.4413
roszieg_c=16_1.alb,1,11,100207,0.5949
roszieg_c=16_1.alb,2,10,100221,0.5949
roszieg_c=25.alb,1,7,214,0.6
roszieg_c=25.alb,2,6,228,0.6
roszieg_c=25_1.alb,1,7,207,0.4723
roszieg_c=25_1.alb,2,6,228,0.4723
roszieg_c=32.alb,1,6,200,0.5453
roszieg_c=32.alb,2,5,214,0.5453
roszieg_c=32_1.alb,1,6,200,0.5267
roszieg_c=32_1.alb,2,5,214,0.5267
roszieg_c=32_2.alb,1,5,207,0.5449
sawyer30_c=25.alb,1,19,240,0.5276
sawyer30_c=25.alb,2,15,289,0.5276
sawyer30_c=25.alb,3,18,247,0.5276
sawyer30_c=25.alb,4,17,261,0.5276
sawyer30_c=25.alb,5,16,275,0.5276
sawyer30_c=25_1.alb,1,20,240,0.668
sawyer30_c=25_1.alb,2,15,289,0.668
sawyer30_c=25_1.alb,3,16,268,0.668
sawyer30_c=25_1.alb,4,19,247,0.668
sawyer30_c=25_1.alb,5,18,254,0.668
sawyer30_c=25_1.alb,6,17,261,0.668
Sawyer30_c=33.alb,1,14,100240,0.7877
Sawyer30_c=33.alb,2,12,100268,0.7877
Sawyer30_c=33.alb,3,13,100254,0.7877
Sawyer30_c=33_1.alb,1,14,240,0.5136
Sawyer30_c=33_1.alb,2,12,268,0.5136
Sawyer30_c=33_1.alb,3,13,247,0.5136
sawyer30_c=41.alb,1,11,240,0.5455
sawyer30_c=41.alb,2,10,254,0.5455
sawyer30_c=41_1.alb,1,11,240,0.6251
sawyer30_c=41_1.alb,2,10,254,0.6251
sawyer30_c=41_2.alb,1,11,240,0.849
sawyer30_c=41_2.alb,2,10,247,0.849
