Instance,Tasks,CycleTime,Z1_Best,Z2_Best,Z2_Avg,Time_Avg,Feasibility_Rate
bowman8_c=20.alb,8,20,5,64,65.4,0.0002,100.0%
jackson_c=10.alb,11,10,6,95,96.4,0.0004,100.0%
jackson_c=10_1.alb,11,10,7,95,95.0,0.0004,100.0%
jackson_c=10_2.alb,11,10,7,95,95.0,0.0002,100.0%
jackson_c=10_3.alb,11,10,6,95,97.8,0.0004,100.0%
jackson_c=10_4.alb,11,10,7,95,20095.0,0.0002,80.0%
jackson_c=13.alb,11,13,5,88,60093.6,0.0002,40.0%
jackson_c=13_1.alb,11,13,5,95,95.0,0.0002,100.0%
jackson_c=13_2.alb,11,13,5,88,93.6,0.0004,100.0%
jackson_c=13_3.alb,11,13,5,88,90.8,0.0002,100.0%
jackson_c=14.alb,11,14,5,88,90.8,0.0002,100.0%
jackson_c=7.alb,11,7,9,95,95.0,0.0004,100.0%
jackson_c=9.alb,11,9,8,88,92.2,0.0002,100.0%
jackson_c=9_1.alb,11,9,8,88,92.2,0.0004,100.0%
jackson_c=9_2.alb,11,9,8,88,90.8,0.0002,100.0%
jaeschke_c=10.alb,9,10,5,79,79.0,0.0002,100.0%
jaeschke_c=10_1.alb,9,10,5,79,81.8,0.0002,100.0%
jaeschke_c=18.alb,9,18,3,72,73.4,0.0002,100.0%
jaeschke_c=18_1.alb,9,18,3,72,60076.2,0.0,40.0%
jaeschke_c=18_2.alb,9,18,3,79,79.0,0.0,100.0%
jaeschke_c=18_3.alb,9,18,3,72,76.2,0.0,100.0%
jaeschke_c=6.alb,9,6,8,72,77.6,0.0002,100.0%
jaeschke_c=6_1.alb,9,6,8,72,77.6,0.0,100.0%
jaeschke_c=7.alb,9,7,8,72,72.0,0.0,100.0%
jaeschke_c=7_1.alb,9,7,8,72,74.8,0.0,100.0%
jaeschke_c=7_2.alb,9,7,8,72,72.0,0.0002,100.0%
jaeschke_c=7_3.alb,9,7,8,72,74.8,0.0002,100.0%
jaeschke_c=7_4.alb,9,7,8,72,72.0,0.0002,100.0%
jaeschke_c=8.alb,9,8,7,100079,100079.0,0.0002,0.0%
jaeschke_c=8_1.alb,9,8,7,79,79.0,0.0,100.0%
mansoor_c=48.alb,11,48,5,95,80092.2,0.0002,20.0%
mansoor_c=62.alb,11,62,4,102,180096.4,0.0002,20.0%
mansoor_c=62_1.alb,11,62,4,88,92.2,0.0002,100.0%
mansoor_c=62_2.alb,11,62,4,102,120097.8,0.0002,20.0%
mansoor_c=94.alb,11,94,3,88,92.2,0.0,100.0%
mansoor_c=94_1.alb,11,94,3,88,60093.6,0.0,40.0%
mansoor_c=94_2.alb,11,94,3,88,60089.4,0.0002,60.0%
mertens_c=10.alb,7,10,4,56,61.6,0.0,100.0%
mertens_c=15.alb,7,15,3,56,56.0,0.0002,100.0%
mertens_c=18.alb,7,18,2,63,80063.0,0.0002,20.0%
mertens_c=6.alb,7,6,6,56,58.8,0.0002,100.0%
mertens_c=6_1.alb,7,6,6,56,57.4,0.0,100.0%
mertens_c=6_2.alb,7,6,6,56,58.8,0.0002,100.0%
mertens_c=6_3.alb,7,6,6,56,58.8,0.0,100.0%
mertens_c=7.alb,7,7,6,56,57.4,0.0,100.0%
mertens_c=7_1.alb,7,7,6,63,40061.6,0.0002,80.0%
mertens_c=7_2.alb,7,7,6,56,20057.4,0.0,80.0%
mertens_c=7_3.alb,7,7,6,56,57.4,0.0,100.0%
mertens_c=7_4.alb,7,7,6,56,57.4,0.0,100.0%
mertens_c=8.alb,7,8,5,56,57.4,0.0,100.0%
