Instance,Tasks,CycleTime,Z1_Best,Z2_Best,Z2_Avg,Time_Avg,Feasibility_Rate
buxey_c=36.alb,29,36,13,239,241.8,0.0082,100.0%
gunther_c=44.alb,35,44,16,280,20292.6,0.0072,80.0%
gunther_c=49.alb,35,49,13,308,60298.2,0.0048,40.0%
gunther_c=54.alb,35,54,12,287,294.0,0.0066,100.0%
gunther_c=69.alb,35,69,9,280,287.0,0.0062,100.0%
gunther_c=69_1.alb,35,69,9,280,288.4,0.0058,100.0%
gunther_c=69_2.alb,35,69,9,100280,120287.0,0.0066,0.0%
gunther_c=69_3.alb,35,69,9,100280,140291.2,0.0104,0.0%
heskia_c=138.alb,28,138,9,224,232.4,0.0062,100.0%
heskia_c=216.alb,28,216,6,224,40231.0,0.0088,60.0%
heskia_c=256.alb,28,256,5,224,224.0,0.0038,100.0%
heskia_c=342.alb,28,342,4,224,240225.4,0.0082,20.0%
kilbrid_c=110.alb,45,110,7,360,20362.8,0.019,80.0%
kilbrid_c=110_1.alb,45,110,7,200360,500365.6,0.0282,0.0%
kilbrid_c=138.alb,45,138,5,360,360.0,0.0149,100.0%
kilbrid_c=184.alb,45,184,4,100360,120360.0,0.0098,0.0%
kilbrid_c=56.alb,45,56,13,360,362.8,0.033,100.0%
kilbrid_c=57.alb,45,57,13,360,360.0,0.0221,100.0%
kilbrid_c=62.alb,45,62,12,360,360.0,0.0188,100.0%
kilbrid_c=62_1.alb,45,62,12,360,362.8,0.0174,100.0%
kilbrid_c=92.alb,45,92,8,367,340365.6,0.0358,20.0%
lutz1_c=1414.alb,32,1414,13,270,275.6,0.0067,100.0%
lutz1_c=1414_1.alb,32,1414,13,263,271.4,0.0038,100.0%
lutz1_c=1414_2.alb,32,1414,13,270,20275.6,0.0046,80.0%
lutz1_c=1572.alb,32,1572,12,263,265.8,0.0042,100.0%
lutz1_c=1572_1.alb,32,1572,12,256,261.6,0.0048,100.0%
lutz1_c=2357.alb,32,2357,8,263,60265.8,0.0036,40.0%
lutz1_c=2357_1.alb,32,2357,8,256,263.0,0.0038,100.0%
lutz1_c=2357_2.alb,32,2357,8,270,40267.2,0.005,60.0%
lutz1_c=2357_3.alb,32,2357,8,256,264.4,0.003,100.0%
mitchell_c=14.alb,21,14,10,175,20177.8,0.0012,80.0%
mitchell_c=15.alb,21,15,10,175,20177.8,0.0012,80.0%
mitchell_c=15_1.alb,21,15,10,175,175.0,0.0012,100.0%
mitchell_c=21.alb,21,21,7,168,170.8,0.001,100.0%
mitchell_c=26.alb,21,26,6,168,173.6,0.0006,100.0%
roszieg_c=14.alb,25,14,12,207,214.0,0.0024,100.0%
roszieg_c=16.alb,25,16,11,207,207.0,0.0018,100.0%
roszieg_c=16_1.alb,25,16,11,100207,120209.8,0.0024,0.0%
roszieg_c=25.alb,25,25,7,214,40212.6,0.0026,60.0%
roszieg_c=25_1.alb,25,25,7,207,208.4,0.002,100.0%
roszieg_c=32.alb,25,32,6,200,40205.6,0.002,60.0%
roszieg_c=32_1.alb,25,32,6,207,80204.2,0.0022,40.0%
roszieg_c=32_2.alb,25,32,5,207,80214.0,0.0016,40.0%
sawyer30_c=25.alb,30,25,19,240,245.6,0.0068,100.0%
sawyer30_c=25_1.alb,30,25,18,240,249.8,0.0068,100.0%
Sawyer30_c=33.alb,30,33,14,100240,120247.0,0.0094,0.0%
Sawyer30_c=33_1.alb,30,33,13,240,241.4,0.0068,100.0%
sawyer30_c=41.alb,30,41,11,240,248.4,0.0038,100.0%
sawyer30_c=41_1.alb,30,41,11,247,249.8,0.0038,100.0%
sawyer30_c=41_2.alb,30,41,10,240,248.4,0.0063,100.0%
