Instance,Tasks,CycleTime,Z1_Best,Z2_Best,Z2_Avg,Time_Avg,Feasibility_Rate
Arc111_c=17067.alb,111,17067,11,200888,380893.6,0.78,0.0%
Arc111_c=6267.alb,111,6267,32,909,40910.4,1.3648,60.0%
Arc111_c=9400.alb,111,9400,22,888,893.6,0.3122,100.0%
Arc83_c=5408.alb,83,5408,17,200706,320701.8,0.1774,0.0%
Arc83_c=5824.alb,83,5824,16,300699,520683.6,0.2068,0.0%
Arc83_c=5824_1.alb,83,5824,17,664,669.6,0.0594,100.0%
Arc83_c=7571.alb,83,7571,13,1100685,1280682.2,0.1386,0.0%
arc83_c=8412.alb,83,8412,11,600685,720683.6,0.1283,0.0%
arc83_c=8898.alb,83,8898,11,664,60669.6,0.0578,40.0%
barthol2_c=106.alb,148,106,54,1191,1193.8,1.6025,100.0%
barthol2_c=125.alb,148,125,45,1184,1191.0,1.3633,100.0%
barthol2_c=125_1.alb,148,125,45,1191,61199.4,5.9206,40.0%
barthol2_c=93.alb,148,93,62,1184,41198.0,21.518,80.0%
barthold_c=626.alb,148,626,11,701191,1261193.8,3.4286,0.0%
hahn_c=2338.alb,53,2338,8,200438,240436.6,0.022,0.0%
lutz2_c=12.alb,89,12,58,726,731.6,0.6757,100.0%
lutz2_c=13.alb,89,13,55,726,745.6,0.7021,100.0%
lutz2_c=18.alb,89,18,36,733,748.4,0.1876,100.0%
lutz3_c=127.alb,89,127,17,100719,140726.0,0.1164,0.0%
lutz3_c=127_1.alb,89,127,17,100719,200724.6,0.14,0.0%
lutz3_c=75.alb,89,75,28,500747,740777.8,0.7109,0.0%
mukherje_c=192.alb,94,192,28,766,775.8,0.9061,100.0%
mukherje_c=222.alb,94,222,24,759,20768.8,1.8125,80.0%
mukherje_c=248.alb,94,248,22,759,770.2,2.5308,100.0%
mukherje_c=248_1.alb,94,248,22,759,20764.6,3.0084,80.0%
mukherje_c=301.alb,94,301,18,752,756.2,0.7535,100.0%
mukherje_c=301_1.alb,94,301,18,752,60760.4,2.7562,60.0%
mukherje_c=351.alb,94,351,15,400752,660761.8,4.0856,0.0%
scholl_c=1548.alb,297,1548,57,2376,2398.4,8.4211,100.0%
scholl_c=1659.alb,297,1659,54,2376,2387.2,10.2528,100.0%
scholl_c=1742.alb,297,1742,52,2383,2385.8,10.6928,100.0%
scholl_c=2177.alb,297,2177,40,2404,42406.8,7.7538,60.0%
scholl_c=2322.alb,297,2322,37,102425,322420.8,31.6132,0.0%
Tonge70_c=176.alb,70,176,27,567,40572.6,0.3577,60.0%
Tonge70_c=251.alb,70,251,18,560,40567.0,0.1621,60.0%
Tonge70_c=293.alb,70,293,15,574,120583.8,0.2884,60.0%
Tonge70_c=293_1.alb,70,293,16,560,80567.0,0.2025,40.0%
warnecke_c=104.alb,58,104,20,464,471.0,0.0434,100.0%
warnecke_c=56.alb,58,56,37,471,482.2,0.1631,100.0%
warnecke_c=58.alb,58,58,37,464,20468.2,0.1789,80.0%
warnecke_c=78.alb,58,78,28,471,473.8,0.1339,100.0%
warnecke_c=86.alb,58,86,24,485,40487.8,0.1471,60.0%
warnecke_c=97.alb,58,97,21,464,140479.4,0.1171,20.0%
warnecke_c=97_1.alb,58,97,22,100471,100479.4,0.0945,0.0%
wee-mag_c=29.alb,75,29,67,600,601.4,0.9662,100.0%
wee-mag_c=36.alb,75,36,63,600,602.8,0.1176,100.0%
wee-mag_c=36_1.alb,75,36,62,600,607.0,0.1576,100.0%
wee-mag_c=40.alb,75,40,61,600,601.4,1.0171,100.0%
wee-mag_c=41.alb,75,41,60,607,20607.0,1.3242,80.0%
wee-mag_c=52.alb,75,52,36,733,744.2,0.3668,100.0%
