Factor,Level,Value,Mean_Score,Avg_SN_Ratio
POP_SIZE,Level 1,30.0,553952.75,-114.87
POP_SIZE,Level 2,50.0,551176.2,-114.83
POP_SIZE,Level 3,100.0,550248.2,-114.81
MAX_GEN,Level 1,50.0,553953.98,-114.87
MAX_GEN,Level 2,100.0,551175.75,-114.83
MAX_GEN,Level 3,200.0,550247.43,-114.81
T_SIZE,Level 1,5.0,553953.33,-114.87
T_SIZE,Level 2,10.0,550246.32,-114.81
T_SIZE,Level 3,15.0,551177.5,-114.83
MUT_RATE,Level 1,0.05,554880.62,-114.89
MUT_RATE,Level 2,0.1,550249.69,-114.81
MUT_RATE,Level 3,0.2,550246.84,-114.81
