Factor,Level,Value,Mean_Score,Avg_SN_Ratio
POP_SIZE,Level 1,30.0,550247.82,-114.81
POP_SIZE,Level 2,50.0,546917.71,-114.76
POP_SIZE,Level 3,100.0,550245.87,-114.81
MAX_GEN,Level 1,50.0,550249.24,-114.81
MAX_GEN,Level 2,100.0,546914.79,-114.76
MAX_GEN,Level 3,200.0,550247.36,-114.81
CX_RATE,Level 1,0.8,550248.59,-114.81
CX_RATE,Level 2,0.9,550249.5,-114.81
CX_RATE,Level 3,1.0,546913.3,-114.76
MUT_RATE,Level 1,0.05,546915.63,-114.76
MUT_RATE,Level 2,0.1,550246.84,-114.81
MUT_RATE,Level 3,0.2,550248.92,-114.81
